Date,Value,Open,Close,High,Low
15/07/15,112041984.0,8.5,8.57,8.62,8.48
16/07/15,43707854.0,8.75,8.55,8.8,8.55
20/07/15,16598185.0,8.61,8.55,8.7,8.44
21/07/15,72143574.0,8.55,9.1,9.1,8.55
22/07/15,41300908.0,9.02,9.25,9.31,9.01
23/07/15,6797328.0,9.22,9.18,9.25,9.04
23/07/15,6797328.0,9.22,9.18,9.25,9.04
23/07/15,6797328.0,9.22,9.18,9.25,9.04
24/07/15,10566448.0,9.1,9.03,9.15,9.03
27/07/15,8638030.0,9.1,9.0,9.1,8.99
28/07/15,43875226.0,8.97,8.58,8.97,8.58
29/07/15,30319322.0,8.61,8.53,8.79,8.5
30/07/15,18097967.0,8.56,8.6,8.79,8.52
31/07/15,13477615.0,8.6,8.69,8.76,8.6
03/08/15,11863780.0,8.73,8.72,8.73,8.59
04/08/15,20610131.0,8.72,8.57,8.72,8.56
05/08/15,18183086.0,8.58,8.64,8.75,8.58
06/08/15,12825210.0,8.7,8.52,8.71,8.52
07/08/15,38931932.0,8.53,8.43,8.56,8.4
10/08/15,64354482.0,8.4,8.16,8.52,8.12
11/08/15,28367026.0,8.2,8.32,8.32,8.14
12/08/15,79367371.0,8.32,7.99,8.32,7.86
13/08/15,52900594.0,8.0,7.9,8.21,7.88
14/08/15,35323301.0,7.92,7.61,8.0,7.61
17/08/15,63891648.0,7.64,6.94,7.79,6.94
18/08/15,70601096.0,7.0,6.72,7.01,6.64
19/08/15,83744552.0,6.8,7.17,7.4,6.76
20/08/15,58278508.0,7.24,6.8,7.3,6.75
24/08/15,101005546.0,6.5,5.9,6.5,5.9
25/08/15,24550890.0,5.77,6.3,6.3,5.77
26/08/15,45804807.0,6.37,6.5,6.77,6.3
27/08/15,38194762.0,6.75,7.0,7.0,6.52
28/08/15,55470500.0,7.05,7.26,7.38,7.02
01/09/15,29116473.0,7.16,7.08,7.3,6.98
02/09/15,29696963.0,6.98,6.8,7.04,6.7
03/09/15,12803926.0,7.08,6.77,7.08,6.77
04/09/15,31195377.0,6.77,6.5,6.99,6.49
07/09/15,20135781.0,6.52,6.24,6.52,6.23
08/09/15,22368524.0,6.22,6.12,6.55,6.09
09/09/15,11227810.0,6.3,6.35,6.4,6.24
10/09/15,7643855.0,6.35,6.24,6.5,6.18
11/09/15,2248742.0,6.2,6.24,6.3,6.2
14/09/15,12953698.0,6.31,6.27,6.42,6.21
15/09/15,75717773.0,6.32,6.66,6.85,6.27
15/09/15,75717773.0,6.32,6.66,6.85,6.27
15/09/15,75717773.0,6.32,6.66,6.85,6.27
16/09/15,18993822.0,6.7,6.55,6.74,6.55
17/09/15,35551464.0,6.56,6.89,7.0,6.46
18/09/15,68394488.0,6.95,7.02,7.11,6.8
21/09/15,5135272.0,7.02,6.84,7.02,6.74
22/09/15,6987872.0,6.91,6.6,6.91,6.6
23/09/15,7498786.0,6.6,6.52,6.61,6.5
24/09/15,12260758.0,6.5,6.34,6.5,6.32
28/09/15,11939968.0,6.36,6.21,6.5,6.2
