Date,Value,Open,Close,High,Low
15/07/15,1498680.0,0.64,0.64,0.65,0.62
16/07/15,226400.0,0.64,0.63,0.64,0.63
20/07/15,10327700.0,0.65,0.65,0.66,0.65
21/07/15,2314910.0,0.65,0.65,0.65,0.64
22/07/15,99220.0,0.64,0.65,0.65,0.64
23/07/15,19140.0,0.66,0.66,0.66,0.66
23/07/15,19140.0,0.66,0.66,0.66,0.66
23/07/15,19140.0,0.66,0.66,0.66,0.66
24/07/15,1075510.0,0.64,0.65,0.65,0.64
27/07/15,3129680.0,0.64,0.64,0.66,0.64
28/07/15,665610.0,0.65,0.66,0.66,0.65
29/07/15,8826920.0,0.66,0.66,0.67,0.66
30/07/15,328410.0,0.65,0.65,0.67,0.65
31/07/15,221580.0,0.64,0.65,0.66,0.64
03/08/15,2832830.0,0.65,0.68,0.69,0.65
04/08/15,7284290.0,0.68,0.67,0.71,0.67
05/08/15,39507570.0,0.7,0.65,0.7,0.65
06/08/15,2341660.0,0.66,0.65,0.66,0.64
07/08/15,2363160.0,0.64,0.64,0.65,0.64
10/08/15,978440.0,0.65,0.64,0.65,0.64
11/08/15,519840.0,0.65,0.64,0.65,0.64
12/08/15,1486190.0,0.65,0.63,0.65,0.63
13/08/15,100320.0,0.64,0.63,0.64,0.63
14/08/15,389370.0,0.64,0.63,0.64,0.63
17/08/15,1719740.0,0.63,0.62,0.64,0.62
18/08/15,671480.0,0.62,0.63,0.64,0.62
19/08/15,149310.0,0.63,0.63,0.63,0.63
20/08/15,259350.0,0.63,0.62,0.63,0.62
24/08/15,531760.0,0.61,0.6,0.61,0.53
25/08/15,607880.0,0.58,0.58,0.62,0.58
26/08/15,1421590.0,0.61,0.58,0.61,0.58
27/08/15,6920980.0,0.58,0.56,0.58,0.54
28/08/15,4990080.0,0.58,0.56,0.58,0.55
01/09/15,1350230.0,0.57,0.57,0.58,0.56
02/09/15,1170220.0,0.56,0.56,0.57,0.55
03/09/15,5161080.0,0.55,0.55,0.56,0.55
04/09/15,2585560.0,0.56,0.55,0.56,0.54
07/09/15,3231860.0,0.55,0.51,0.55,0.51
08/09/15,728510.0,0.53,0.51,0.53,0.51
09/09/15,3509420.0,0.53,0.51,0.53,0.51
10/09/15,233740.0,0.51,0.51,0.52,0.5
11/09/15,3703680.0,0.51,0.51,0.51,0.5
14/09/15,1396310.0,0.51,0.49,0.52,0.49
15/09/15,2248000.0,0.49,0.5,0.5,0.49
15/09/15,2248000.0,0.49,0.5,0.5,0.49
15/09/15,2248000.0,0.49,0.5,0.5,0.49
16/09/15,4158940.0,0.51,0.53,0.53,0.5
17/09/15,3220300.0,0.53,0.52,0.54,0.51
18/09/15,4118990.0,0.52,0.52,0.52,0.5
21/09/15,3302965.0,0.52,0.5,0.52,0.495
22/09/15,3086295.0,0.5,0.51,0.53,0.495
23/09/15,1043720.0,0.52,0.5,0.52,0.495
24/09/15,5203750.0,0.51,0.485,0.51,0.48
28/09/15,3670650.0,0.5,0.485,0.5,0.48
