Date,Value,Open,Close,High,Low
15/07/15,5980213.5,60.0,59.5,60.1,59.5
16/07/15,3297087.0,59.95,60.0,60.0,59.5
20/07/15,5204439.5,60.0,59.0,60.0,59.0
21/07/15,15875063.5,59.85,58.3,59.85,58.3
22/07/15,7627266.0,58.8,58.3,58.9,58.2
23/07/15,6964813.0,58.4,58.15,58.4,58.15
23/07/15,6964813.0,58.4,58.15,58.4,58.15
23/07/15,6964813.0,58.4,58.15,58.4,58.15
24/07/15,11950388.0,58.35,58.85,58.95,58.35
27/07/15,16787330.0,58.8,58.75,58.85,57.95
28/07/15,7762048.5,58.8,57.0,58.8,56.05
29/07/15,11589846.0,57.0,56.5,57.05,56.35
30/07/15,3731499.5,56.5,56.6,57.0,56.5
31/07/15,9517432.0,56.6,56.3,58.0,56.3
03/08/15,21686945.5,56.3,56.2,57.0,56.2
04/08/15,20082728.0,56.2,55.6,56.25,55.6
05/08/15,16648983.0,55.8,55.85,56.95,55.55
06/08/15,24708794.5,55.85,55.75,56.0,55.6
07/08/15,21544373.5,55.85,55.8,56.0,55.75
10/08/15,5698287.0,55.8,55.65,56.35,55.65
11/08/15,15566620.0,56.1,55.8,56.8,55.7
12/08/15,15574369.0,55.75,56.0,56.0,55.5
13/08/15,5990760.0,55.85,56.0,56.0,55.8
14/08/15,9519291.5,56.0,55.65,56.0,55.55
17/08/15,18932750.5,55.65,55.6,56.0,54.5
18/08/15,10435208.5,55.6,55.75,55.75,55.0
19/08/15,3452434.5,55.0,56.0,56.0,54.9
20/08/15,3675083.0,56.0,56.0,56.0,55.4
24/08/15,13713304.5,55.4,53.3,55.4,53.05
25/08/15,16230506.0,53.1,52.6,53.2,51.0
26/08/15,22464922.0,52.5,51.05,52.5,50.45
27/08/15,23896756.5,51.1,50.85,52.15,50.85
28/08/15,9714123.0,51.2,52.0,53.0,51.2
01/09/15,29728251.5,52.05,50.1,52.5,49.5
02/09/15,9077159.0,51.8,50.25,51.8,49.5
03/09/15,6329897.5,51.0,50.25,51.7,50.05
04/09/15,37111454.5,50.5,48.7,50.5,48.7
07/09/15,3678045.0,49.0,49.0,49.85,48.7
08/09/15,5062335.0,49.4,48.65,49.5,48.55
09/09/15,3751660.0,49.0,48.9,49.0,48.7
10/09/15,4145220.0,49.2,49.05,49.2,48.75
11/09/15,8903095.0,50.0,48.05,50.0,48.05
14/09/15,13096245.0,48.05,46.95,49.0,46.95
15/09/15,15052430.0,46.95,45.2,47.0,45.2
15/09/15,15052430.0,46.95,45.2,47.0,45.2
15/09/15,15052430.0,46.95,45.2,47.0,45.2
16/09/15,14464070.0,46.0,45.15,46.8,45.15
17/09/15,15004325.0,45.15,45.3,45.85,45.15
18/09/15,25326100.0,45.35,45.8,46.0,45.35
21/09/15,13275095.0,46.05,45.1,46.05,45.1
22/09/15,22898455.0,45.2,44.0,45.8,43.9
23/09/15,153182550.0,44.0,44.4,44.7,43.5
24/09/15,21724365.0,44.4,50.75,50.75,43.9
28/09/15,16485734.5,48.4,46.35,48.4,46.0
29/09/15,6175540.0,46.35,47.2,48.2,44.5
30/09/15,25057260.0,47.2,48.5,50.0,47.15
01/10/15,16247995.0,49.0,49.6,50.5,48.5
02/10/15,14192995.0,50.0,47.0,50.2,47.0
05/10/15,7728830.0,48.0,49.1,49.85,47.0
06/10/15,13009755.0,49.1,47.1,50.0,47.1
07/10/15,7534555.0,49.45,48.0,49.45,47.5
08/10/15,9511885.0,47.6,50.0,50.0,47.6
09/10/15,6799211.5,49.95,49.95,49.95,48.6
12/10/15,18132850.0,49.0,47.75,49.0,47.75
13/10/15,26394770.0,48.0,45.3,48.0,45.15
14/10/15,11913520.0,46.05,45.15,46.4,45.15
15/10/15,4637575.0,46.0,46.95,46.95,45.5
16/10/15,9550120.0,46.95,48.0,48.0,46.85
19/10/15,11397395.0,48.0,48.0,48.65,48.0
20/10/15,9891780.0,48.6,49.5,49.5,48.0
21/10/15,88901305.0,49.0,47.5,49.45,46.5
22/10/15,21361945.0,47.7,48.0,48.0,46.5
23/10/15,7318965.0,48.0,48.5,48.5,47.8
26/10/15,20486150.0,48.5,48.35,48.5,47.8
27/10/15,23782545.0,48.35,49.5,49.5,48.35
28/10/15,10027625.0,49.5,50.0,50.0,49.0
29/10/15,37888595.5,50.0,50.35,52.0,49.15
30/10/15,15449066.5,50.4,48.0,50.75,48.0
02/11/15,4557425.0,49.5,49.35,49.6,48.5
03/11/15,10893795.0,49.4,49.05,49.5,49.0
04/11/15,5439695.0,49.2,49.2,49.5,49.1
05/11/15,58080005.0,49.45,50.35,51.0,49.45
06/11/15,7135518.0,50.35,49.8,50.35,49.6
09/11/15,8270000.0,49.8,49.7,50.0,49.1
10/11/15,8497840.0,49.7,48.5,49.7,47.75
11/11/15,6305670.0,48.0,47.7,48.0,47.7
12/11/15,23905290.0,47.5,47.0,47.5,46.8
13/11/15,35601640.0,47.0,49.5,49.5,46.25
16/11/15,6852030.0,49.0,47.95,49.0,47.0
17/11/15,17386125.0,47.85,48.0,48.5,47.65
20/11/15,6487580.0,48.0,48.0,48.45,47.65
23/11/15,5218635.0,48.0,47.55,48.3,47.55
24/11/15,27590640.0,47.0,47.0,47.05,46.7
25/11/15,20634895.0,46.75,46.9,47.0,46.75
26/11/15,11204120.0,47.0,47.0,47.0,46.75
27/11/15,13143285.0,47.45,46.8,47.45,46.7
01/12/15,8061140.0,46.75,46.8,46.8,46.3
02/12/15,23970545.0,46.8,47.25,47.25,45.8
03/12/15,13135770.0,47.2,46.8,47.2,45.9
04/12/15,9033310.0,46.75,47.2,47.2,45.9
07/12/15,8228305.0,47.0,47.25,47.25,46.2
08/12/15,14407345.0,47.25,47.95,47.95,46.3
09/12/15,8460695.0,47.85,47.8,47.85,46.6
10/12/15,8953230.0,47.6,47.5,47.6,46.9
11/12/15,10833405.0,47.5,46.55,47.5,46.1
14/12/15,28392000.0,46.55,44.5,46.55,44.5
15/12/15,13434635.0,44.5,44.95,44.95,44.05
16/12/15,9243090.0,44.95,45.6,45.6,44.5
17/12/15,14327860.0,45.6,46.0,46.0,44.65
18/12/15,10129355.0,44.8,47.1,47.1,44.6
21/12/15,8078480.0,47.0,46.7,47.0,45.6
22/12/15,8020125.0,46.7,46.5,47.1,46.5
23/12/15,11912910.0,46.6,49.0,49.0,46.6
