Date,Value,Open,Close,High,Low
16/07/15,1403020.0,2.62,2.8,2.82,2.56
20/07/15,525150.0,2.52,2.55,2.66,2.5
22/07/15,52790.0,2.51,2.55,2.55,2.51
24/07/15,148110.0,2.45,2.55,2.55,2.41
27/07/15,49640.0,2.07,2.54,2.54,2.07
29/07/15,12020.0,2.22,2.5,2.5,2.22
03/08/15,45000.0,2.25,2.25,2.25,2.25
04/08/15,42950.0,2.24,2.23,2.5,2.23
05/08/15,5100.0,2.55,2.55,2.55,2.55
06/08/15,15630.0,2.25,2.23,2.25,2.23
07/08/15,9460.0,2.5,2.23,2.5,2.23
10/08/15,4800.0,2.4,2.4,2.4,2.4
11/08/15,193670.0,2.23,2.25,2.25,2.2
12/08/15,2250.0,2.25,2.25,2.25,2.25
13/08/15,33750.0,2.25,2.25,2.25,2.25
19/08/15,77030.0,2.22,2.2,2.22,2.2
20/08/15,66000.0,2.2,2.2,2.2,2.2
24/08/15,27100.0,2.2,2.55,2.55,2.2
26/08/15,44000.0,2.2,2.2,2.2,2.2
27/08/15,22680.0,2.52,2.52,2.52,2.52
01/09/15,9920.0,2.48,2.48,2.48,2.48
04/09/15,4960.0,2.48,2.48,2.48,2.48
08/09/15,5000.0,2.5,2.5,2.5,2.5
11/09/15,4300.0,2.15,2.15,2.15,2.15
14/09/15,7500.0,2.5,2.5,2.5,2.5
17/09/15,29100.0,2.2,2.5,2.5,2.2
18/09/15,4317020.0,2.64,2.85,3.2,2.62
21/09/15,4181880.0,2.66,2.83,3.2,2.55
22/09/15,1124270.0,2.86,3.18,3.18,2.83
23/09/15,167180.0,2.9,3.02,3.02,2.9
24/09/15,17520.0,2.9,3.02,3.02,2.9
28/09/15,98100.0,2.9,2.88,2.9,2.88
29/09/15,207390.0,2.89,2.88,2.89,2.88
30/09/15,484020.0,2.69,2.69,2.7,2.68
01/10/15,200640.0,2.69,2.9,2.9,2.69
05/10/15,54560.0,2.69,2.88,2.88,2.69
07/10/15,65400.0,2.7,2.87,2.87,2.69
08/10/15,29750.0,2.69,2.85,2.85,2.69
09/10/15,56870.0,2.69,2.86,2.86,2.69
12/10/15,26920.0,2.7,2.69,2.7,2.69
14/10/15,10920.0,2.73,2.73,2.73,2.73
16/10/15,5400.0,2.7,2.7,2.7,2.7
19/10/15,2980.0,2.98,2.98,2.98,2.98
21/10/15,11070.0,2.7,2.97,2.97,2.7
22/10/15,70430.0,2.7,2.96,2.96,2.69
23/10/15,28420.0,2.71,2.93,2.93,2.71
26/10/15,8070.0,2.69,2.69,2.69,2.69
27/10/15,2920.0,2.92,2.92,2.92,2.92
30/10/15,106610.0,2.7,2.69,2.85,2.69
09/11/15,78010.0,2.69,2.69,2.69,2.69
10/11/15,5380.0,2.69,2.69,2.69,2.69
11/11/15,29590.0,2.69,2.69,2.69,2.69
12/11/15,56290.0,2.69,2.68,2.69,2.68
13/11/15,32430.0,2.68,2.95,2.95,2.68
17/11/15,104520.0,2.68,2.68,2.68,2.68
20/11/15,5400.0,2.7,2.7,2.7,2.7
27/11/15,12300.0,2.4,2.7,2.7,2.4
03/12/15,2700.0,2.7,2.7,2.7,2.7
07/12/15,5110.0,2.41,2.7,2.7,2.41
09/12/15,12330.0,2.41,2.69,2.69,2.41
11/12/15,168000.0,2.4,2.4,2.4,2.4
14/12/15,36000.0,2.4,2.4,2.4,2.4
08/01/16,307440.0,2.4,2.38,2.4,2.38
11/01/16,76160.0,2.38,2.38,2.38,2.38
18/01/16,59530.0,2.33,2.08,2.33,2.08
