Date,Value,Open,Close,High,Low
15/07/15,429804214.0,152.2,152.4,153.7,152.2
16/07/15,296200448.0,152.7,152.7,154.4,152.7
20/07/15,69569574.0,152.5,152.7,153.0,151.2
21/07/15,48816890.0,153.6,152.4,153.6,152.0
22/07/15,27261226.0,152.7,151.1,152.7,151.0
23/07/15,212488311.0,151.0,148.6,151.2,148.5
23/07/15,212488311.0,151.0,148.6,151.2,148.5
23/07/15,212488311.0,151.0,148.6,151.2,148.5
24/07/15,133600568.0,148.6,149.7,151.4,148.5
27/07/15,158866594.0,149.9,147.5,150.4,147.3
28/07/15,80137451.0,147.5,147.5,148.5,146.0
29/07/15,367718784.0,147.5,147.4,150.6,146.7
30/07/15,68151052.0,147.7,147.1,150.0,147.0
31/07/15,12788359.0,147.2,148.9,149.6,147.1
03/08/15,20701721.0,150.0,148.5,150.0,147.6
04/08/15,182962278.0,148.5,148.3,148.5,148.0
05/08/15,79568702.0,148.1,148.3,148.8,148.0
06/08/15,73165064.0,148.1,147.3,148.1,147.0
07/08/15,113784834.0,147.1,142.6,147.1,141.4
10/08/15,91462506.0,142.6,142.8,143.1,142.5
11/08/15,12519413.0,142.5,141.6,142.6,141.2
12/08/15,58711305.0,141.2,140.1,143.0,138.2
13/08/15,54048383.0,140.5,138.4,140.5,138.0
14/08/15,21708545.0,138.4,137.7,139.0,137.1
17/08/15,115784300.0,137.7,133.0,137.7,133.0
18/08/15,72916094.0,133.0,132.0,133.0,130.0
19/08/15,92239627.0,132.0,133.1,133.6,130.5
20/08/15,79467473.0,135.0,137.0,137.0,132.7
24/08/15,214071045.0,130.0,120.0,132.0,120.0
25/08/15,81883944.0,120.0,124.8,126.0,119.5
26/08/15,207892360.0,124.0,127.0,134.8,124.0
27/08/15,72134180.0,128.0,127.1,130.8,125.8
28/08/15,123959598.0,128.0,131.9,134.0,128.0
01/09/15,135864216.0,132.0,136.2,138.8,129.5
02/09/15,147705967.0,132.0,138.0,139.8,130.1
03/09/15,104891657.0,138.3,139.0,140.5,136.0
04/09/15,113748670.0,138.4,137.5,138.8,137.5
07/09/15,54407905.0,132.0,134.7,136.0,132.0
08/09/15,151939954.0,134.5,133.0,134.5,133.0
09/09/15,204596408.0,134.0,135.0,136.0,134.0
10/09/15,121706152.0,135.0,135.0,135.1,134.5
11/09/15,36500025.0,134.0,136.2,138.0,134.0
14/09/15,31544152.0,136.0,138.0,139.0,136.0
15/09/15,140550143.0,138.0,142.3,145.0,137.9
15/09/15,140550143.0,138.0,142.3,145.0,137.9
15/09/15,140550143.0,138.0,142.3,145.0,137.9
16/09/15,93018198.0,142.6,142.6,144.5,142.2
17/09/15,6961845.0,142.0,144.7,145.0,142.0
18/09/15,114466242.0,144.5,141.0,146.0,141.0
21/09/15,49289360.0,141.0,141.0,141.4,139.5
22/09/15,63270058.0,139.0,141.0,141.4,138.0
23/09/15,8418592.0,138.0,139.0,143.0,138.0
24/09/15,21670632.0,139.0,137.6,139.0,135.0
28/09/15,25546304.0,139.0,139.0,140.2,138.0
29/09/15,39504585.0,140.9,137.1,140.9,136.0
30/09/15,83435714.0,139.9,137.2,140.0,135.2
01/10/15,81527090.0,138.0,138.0,138.5,135.2
