Date,Value,Open,Close,High,Low
15/07/15,13862004.0,141.5,141.9,143.0,141.5
16/07/15,25112635.0,142.0,143.0,143.0,141.9
20/07/15,233527544.0,128.7,123.5,128.7,120.0
21/07/15,237985286.0,124.0,122.5,127.5,122.2
22/07/15,487859008.0,121.5,111.1,121.5,110.8
23/07/15,609143384.0,112.0,118.0,119.5,112.0
23/07/15,609143384.0,112.0,118.0,119.5,112.0
23/07/15,609143384.0,112.0,118.0,119.5,112.0
24/07/15,435727496.0,118.0,120.0,121.8,118.0
27/07/15,441552277.0,120.0,119.0,121.8,119.0
28/07/15,211650659.0,119.5,118.5,119.5,117.6
29/07/15,308367695.0,118.7,119.0,120.4,118.5
30/07/15,266586101.0,118.7,119.0,120.1,118.7
31/07/15,117190715.0,119.0,119.4,120.0,119.0
03/08/15,122578934.0,118.9,119.2,119.3,118.7
04/08/15,126667858.0,119.2,119.0,119.4,118.2
05/08/15,85121496.0,119.0,118.8,119.9,118.6
06/08/15,104431838.0,118.8,115.1,118.8,114.1
07/08/15,116998512.0,116.0,116.2,116.8,114.9
10/08/15,142280950.0,116.2,118.0,119.3,116.0
11/08/15,318249312.0,118.0,127.5,127.5,117.9
12/08/15,545147041.0,127.0,130.0,132.6,123.0
13/08/15,242770635.0,131.0,127.4,132.5,126.0
14/08/15,70660750.0,127.4,129.5,129.9,127.4
17/08/15,250725396.0,129.4,121.0,129.5,121.0
18/08/15,55995158.0,121.0,123.5,123.9,121.0
19/08/15,155003291.0,123.8,127.0,130.0,123.5
20/08/15,135727860.0,128.0,128.9,130.0,128.0
24/08/15,120231754.0,126.7,118.8,126.7,118.0
25/08/15,82087798.0,118.0,118.9,122.0,116.5
26/08/15,58929674.0,119.5,121.0,124.8,119.5
27/08/15,79559740.0,123.0,124.5,126.0,122.9
28/08/15,282015516.0,126.7,128.0,129.0,123.2
01/09/15,51243431.0,122.5,125.3,126.0,122.5
02/09/15,137943934.0,122.0,128.0,130.0,122.0
03/09/15,156478481.0,129.0,130.6,131.4,128.4
04/09/15,186297136.0,130.5,135.0,137.9,130.5
07/09/15,41331327.0,134.6,132.9,135.0,132.3
08/09/15,28959890.0,132.7,130.0,132.7,126.7
09/09/15,107607749.0,132.0,131.0,134.0,130.0
10/09/15,96145725.0,131.0,131.6,132.2,128.8
11/09/15,85104557.0,132.0,133.3,135.0,132.0
14/09/15,184920125.0,133.5,137.5,139.0,133.5
15/09/15,105788385.0,138.7,137.5,139.0,137.0
15/09/15,105788385.0,138.7,137.5,139.0,137.0
15/09/15,105788385.0,138.7,137.5,139.0,137.0
16/09/15,55501432.0,138.5,136.2,138.5,132.7
17/09/15,57709747.0,135.1,135.4,136.0,134.6
18/09/15,128046796.0,135.4,137.0,139.2,135.2
21/09/15,160819301.0,139.0,139.0,139.7,138.0
22/09/15,236797426.0,139.0,139.4,140.5,138.0
23/09/15,52372548.0,139.6,136.4,139.6,136.0
24/09/15,423658664.0,136.0,134.7,136.0,134.6
28/09/15,95920858.0,133.1,134.8,135.2,132.4
29/09/15,66606635.0,134.7,136.6,137.3,133.8
30/09/15,86381113.0,137.0,136.1,137.0,136.1
01/10/15,42291221.0,136.2,136.7,137.7,136.2
02/10/15,44356856.0,136.7,136.2,136.7,135.5
05/10/15,116021863.0,136.2,139.0,139.0,135.0
06/10/15,158721027.0,139.0,140.6,143.0,136.2
07/10/15,82886539.0,142.0,139.5,142.0,137.0
08/10/15,52868911.0,142.0,139.7,142.0,138.0
09/10/15,70264232.0,139.7,139.8,140.0,138.2
12/10/15,35130095.0,138.1,137.5,139.4,137.5
13/10/15,27171917.0,141.0,138.9,141.0,138.1
14/10/15,44049614.0,138.9,133.6,138.9,132.1
15/10/15,81147084.0,133.6,136.0,137.0,133.6
16/10/15,571253266.0,136.0,130.0,136.0,129.0
19/10/15,275713739.0,131.0,129.0,131.0,128.8
20/10/15,60616185.0,129.0,131.0,131.0,129.0
21/10/15,114841633.0,131.4,129.8,132.5,129.8
22/10/15,115384193.0,129.8,129.8,130.0,129.3
23/10/15,139125652.0,129.8,133.5,134.0,129.5
26/10/15,89322722.0,133.5,135.9,137.6,133.5
27/10/15,33507696.0,137.4,135.7,137.4,133.2
28/10/15,36889295.0,135.3,136.4,137.0,135.3
29/10/15,29529281.0,136.4,135.7,136.4,135.3
30/10/15,5743091.0,136.0,133.9,136.0,133.9
02/11/15,33057396.0,133.9,135.0,135.1,133.9
03/11/15,34678173.0,135.0,137.6,138.0,134.8
04/11/15,55228948.0,138.0,136.8,138.0,135.0
05/11/15,16417816.0,136.5,137.0,137.0,136.0
06/11/15,21993446.0,135.0,137.0,137.0,134.0
09/11/15,36714946.0,136.5,136.2,137.0,135.1
10/11/15,50237312.0,136.2,136.7,136.9,133.9
11/11/15,3938138.0,136.4,137.0,137.0,135.8
12/11/15,33318714.0,136.9,136.0,136.9,133.4
13/11/15,36897882.0,133.5,136.5,136.5,133.4
16/11/15,29000197.0,133.4,134.6,134.6,132.3
17/11/15,35167812.0,134.6,135.8,136.9,134.4
20/11/15,40389636.0,135.6,134.8,135.6,132.0
23/11/15,68931993.0,136.8,134.8,136.8,134.0
24/11/15,56635869.0,134.0,136.0,136.0,134.0
25/11/15,146899729.0,136.8,137.0,137.2,135.8
26/11/15,48387952.0,137.3,136.0,137.3,135.8
27/11/15,85096095.0,136.0,136.0,137.0,135.0
01/12/15,20646238.0,134.0,137.0,137.0,134.0
02/12/15,10255332.0,136.8,137.0,137.0,135.0
03/12/15,29802900.0,136.9,136.9,136.9,135.4
04/12/15,5874055.0,136.8,136.1,136.8,135.5
07/12/15,14280211.0,136.3,136.0,136.3,135.6
08/12/15,16184337.0,136.0,136.0,136.0,135.3
09/12/15,16330317.0,135.3,136.0,136.0,135.2
10/12/15,56748532.0,136.0,136.3,136.6,135.9
11/12/15,70836876.0,135.2,135.0,135.8,133.7
14/12/15,14495109.0,131.1,133.3,134.8,131.1
15/12/15,48475901.0,132.0,132.7,133.2,132.0
16/12/15,81399559.0,134.0,133.6,134.0,132.6
17/12/15,31348746.0,135.5,135.5,135.5,135.0
18/12/15,65985638.0,134.0,133.4,134.9,133.0
21/12/15,52766486.0,133.4,133.6,134.4,133.0
22/12/15,18038569.0,133.0,132.4,134.7,132.4
23/12/15,32549436.0,134.7,134.0,134.7,133.6
28/12/15,43872921.0,134.0,135.0,136.0,133.5
29/12/15,53986735.0,136.0,136.5,137.0,135.0
04/01/16,15709771.0,136.5,136.5,136.5,134.9
05/01/16,37000879.0,135.0,135.0,136.0,134.5
06/01/16,37042324.0,135.0,135.3,136.0,135.0
07/01/16,69640427.0,136.0,131.0,136.0,130.5
08/01/16,24616500.0,130.8,130.9,131.1,130.3
11/01/16,39604037.0,130.3,125.5,130.3,124.4
12/01/16,13806112.0,124.3,125.6,130.0,124.3
13/01/16,52318016.0,127.0,129.0,130.7,127.0
14/01/16,59267648.0,126.2,127.5,127.6,126.0
15/01/16,15591440.0,127.5,126.5,127.5,125.5
18/01/16,16965537.0,126.1,126.3,126.3,124.9
19/01/16,119064942.0,126.5,123.0,126.5,123.0
20/01/16,12630037.0,122.0,123.4,123.8,122.0
21/01/16,128069352.0,122.0,120.0,122.0,119.0
22/01/16,14577712.0,119.4,120.0,120.0,119.2
25/01/16,16332997.0,125.0,121.0,125.0,119.3
26/01/16,61728538.0,119.3,117.9,119.4,117.5
27/01/16,58344166.0,117.9,118.6,121.0,117.9
28/01/16,48766603.0,118.6,118.5,120.8,117.3
29/01/16,42632686.0,121.0,118.7,121.0,118.5
01/02/16,108437293.0,118.7,121.0,121.2,118.7
02/02/16,64318492.0,120.5,122.5,126.0,120.5
03/02/16,50488770.0,122.6,121.2,122.6,120.0
04/02/16,97683172.0,121.6,124.5,125.6,120.0
05/02/16,48850904.0,124.5,126.1,127.0,124.5
09/02/16,65599039.0,126.0,123.9,126.0,122.0
10/02/16,82005246.0,122.0,121.5,122.3,120.9
11/02/16,67654685.0,121.1,123.1,124.0,120.2
12/02/16,51032352.0,123.5,122.1,123.5,120.2
15/02/16,27793897.0,122.1,122.5,123.0,120.5
16/02/16,71607729.0,125.0,122.0,125.0,122.0
17/02/16,50087575.0,124.6,123.3,124.6,123.0
18/02/16,24965236.0,123.3,123.5,123.5,123.0
19/02/16,46135059.0,123.4,123.0,123.4,122.0
22/02/16,88098149.0,123.2,122.8,123.2,120.0
23/02/16,53807975.0,122.5,122.3,124.0,121.5
24/02/16,982534.0,124.0,122.7,124.0,122.4
26/02/16,99177517.0,122.7,122.8,123.0,122.6
29/02/16,70857017.0,123.0,123.0,123.5,122.8
01/03/16,82652990.0,124.0,127.2,128.5,124.0
02/03/16,29622910.0,127.8,128.1,128.5,126.5
03/03/16,28221866.0,128.2,125.1,128.2,125.1
04/03/16,48121744.0,125.2,126.0,126.6,125.2
07/03/16,24623567.0,126.0,126.6,127.0,126.0
08/03/16,52742488.0,129.0,128.0,129.0,126.7
09/03/16,63395200.0,128.0,129.0,130.0,128.0
10/03/16,35334030.0,130.0,130.0,130.2,130.0
11/03/16,73839010.0,129.0,135.9,135.9,129.0
14/03/16,118140973.0,132.1,135.4,136.0,132.1
