Date,Value,Open,Close,High,Low
15/07/15,394140.0,3.3,3.25,3.35,3.25
16/07/15,91090.0,3.25,3.34,3.34,3.25
21/07/15,175570.0,3.32,3.25,3.32,3.25
22/07/15,94220.0,3.32,3.24,3.32,3.24
23/07/15,13190.0,3.26,3.31,3.31,3.26
23/07/15,13190.0,3.26,3.31,3.31,3.26
23/07/15,13190.0,3.26,3.31,3.31,3.26
24/07/15,45560.0,3.25,3.31,3.31,3.25
27/07/15,333200.0,3.24,3.3,3.3,3.24
29/07/15,86300.0,3.3,3.32,3.32,3.3
30/07/15,9990.0,3.33,3.33,3.33,3.33
03/08/15,16480.0,3.26,3.32,3.32,3.26
04/08/15,66390.0,3.32,3.33,3.33,3.3
05/08/15,207980.0,3.34,3.34,3.34,3.3
06/08/15,46580.0,3.34,3.32,3.34,3.32
07/08/15,13200.0,3.3,3.3,3.3,3.3
10/08/15,16530.0,3.33,3.3,3.33,3.3
11/08/15,3340.0,3.34,3.34,3.34,3.34
12/08/15,58820.0,3.33,3.25,3.33,3.25
13/08/15,26150.0,3.25,3.25,3.3,3.25
14/08/15,126460.0,3.25,3.24,3.25,3.24
17/08/15,3240.0,3.24,3.24,3.24,3.24
18/08/15,9720.0,3.24,3.24,3.24,3.24
20/08/15,133350.0,3.25,3.25,3.3,3.25
24/08/15,139720.0,3.3,3.15,3.3,3.15
25/08/15,3150.0,3.15,3.15,3.15,3.15
26/08/15,37960.0,3.15,3.21,3.21,3.15
27/08/15,58160.0,3.2,3.27,3.27,3.2
28/08/15,181510.0,3.21,3.25,3.25,3.2
02/09/15,71120.0,3.22,3.35,3.35,3.22
03/09/15,159700.0,3.2,3.2,3.3,3.16
04/09/15,3270.0,3.27,3.27,3.27,3.27
07/09/15,63450.0,3.16,3.27,3.27,3.15
08/09/15,22400.0,3.2,3.2,3.2,3.2
09/09/15,3200.0,3.2,3.2,3.2,3.2
10/09/15,3200.0,3.2,3.2,3.2,3.2
14/09/15,98310.0,3.27,3.3,3.3,3.27
17/09/15,15920.0,3.16,3.29,3.29,3.15
18/09/15,104720.0,3.2,3.16,3.2,3.16
21/09/15,44660.0,3.29,3.29,3.29,3.15
22/09/15,6300.0,3.15,3.15,3.15,3.15
23/09/15,116490.0,3.15,3.14,3.15,3.14
24/09/15,160650.0,3.15,3.15,3.15,3.15
28/09/15,44240.0,3.16,3.16,3.16,3.16
29/09/15,71530.0,3.11,3.11,3.11,3.11
30/09/15,202170.0,3.29,3.1,3.29,3.1
01/10/15,22080.0,3.1,3.29,3.29,3.1
02/10/15,3190.0,3.19,3.19,3.19,3.19
05/10/15,47670.0,3.17,3.25,3.25,3.17
06/10/15,1097080.0,3.17,3.25,3.25,3.02
07/10/15,76580.0,3.07,3.06,3.07,3.06
08/10/15,810560.0,3.06,3.05,3.06,3.05
09/10/15,12750.0,3.19,3.18,3.19,3.18
12/10/15,28350.0,3.15,3.15,3.15,3.15
13/10/15,404000.0,3.15,3.05,3.15,3.05
14/10/15,12200.0,3.05,3.05,3.05,3.05
16/10/15,15250.0,3.05,3.05,3.05,3.05
19/10/15,27340.0,3.05,3.02,3.05,3.02
20/10/15,27840.0,3.04,3.1,3.1,3.04
21/10/15,9260.0,3.1,3.1,3.1,3.06
28/10/15,3150.0,3.15,3.15,3.15,3.15
29/10/15,224450.0,3.15,3.24,3.24,3.15
02/11/15,469140.0,3.1,3.22,3.22,3.03
03/11/15,37320.0,3.1,3.22,3.22,3.1
05/11/15,43160.0,3.04,3.09,3.09,3.04
06/11/15,1901440.0,3.04,3.09,3.2,3.04
09/11/15,6180.0,3.09,3.09,3.09,3.09
13/11/15,54760.0,3.04,3.15,3.15,3.02
16/11/15,6300.0,3.15,3.15,3.15,3.15
17/11/15,6410.0,3.21,3.2,3.21,3.2
23/11/15,32120.0,3.2,3.24,3.24,3.2
24/11/15,6300.0,3.15,3.15,3.15,3.15
26/11/15,97740.0,3.15,3.24,3.24,3.15
27/11/15,3230.0,3.23,3.23,3.23,3.23
01/12/15,64000.0,3.2,3.2,3.2,3.2
02/12/15,3479760.0,3.24,3.24,3.24,3.24
03/12/15,9470.0,3.07,3.2,3.2,3.07
04/12/15,3200.0,3.2,3.2,3.2,3.2
07/12/15,9300.0,3.1,3.1,3.1,3.1
08/12/15,3220.0,3.22,3.22,3.22,3.22
09/12/15,54800.0,3.22,3.22,3.23,3.22
10/12/15,62500.0,3.13,3.12,3.13,3.12
11/12/15,3210.0,3.21,3.21,3.21,3.21
14/12/15,12800.0,3.2,3.2,3.2,3.2
16/12/15,9600.0,3.2,3.2,3.2,3.2
17/12/15,40940.0,3.15,3.14,3.15,3.14
18/12/15,3210.0,3.21,3.21,3.21,3.21
21/12/15,6320.0,3.11,3.21,3.21,3.11
22/12/15,34460.0,3.13,3.14,3.14,3.13
23/12/15,1743170.0,3.1,3.08,3.1,3.01
28/12/15,218660.0,3.08,3.06,3.08,3.06
29/12/15,68090.0,3.12,3.13,3.13,3.06
04/01/16,12830.0,3.2,3.21,3.21,3.2
05/01/16,9660.0,3.22,3.22,3.22,3.22
06/01/16,6380.0,3.2,3.18,3.2,3.18
08/01/16,15900.0,3.18,3.18,3.18,3.18
12/01/16,6300.0,3.15,3.15,3.15,3.15
13/01/16,41310.0,3.17,3.18,3.18,3.17
15/01/16,1042470.0,3.08,2.92,3.08,2.9
18/01/16,45330.0,2.93,3.0,3.09,2.93
19/01/16,38970.0,2.99,3.0,3.0,2.99
20/01/16,11970.0,2.99,3.0,3.0,2.99
21/01/16,38970.0,2.99,3.0,3.0,2.99
22/01/16,151990.0,2.7,2.98,2.98,2.7
25/01/16,41690.0,2.96,3.0,3.0,2.96
26/01/16,12160.0,3.0,3.16,3.16,3.0
27/01/16,379400.0,3.08,3.05,3.08,3.0
28/01/16,6100.0,3.05,3.05,3.05,3.05
29/01/16,87300.0,3.0,3.05,3.05,3.0
01/02/16,30050.0,3.0,3.05,3.05,3.0
02/02/16,24100.0,3.0,3.05,3.05,3.0
03/02/16,167360.0,2.95,2.99,2.99,2.93
04/02/16,3040.0,3.04,3.04,3.04,3.04
05/02/16,12180.0,3.04,3.05,3.05,3.04
10/02/16,3000.0,3.0,3.0,3.0,3.0
15/02/16,9150.0,3.05,3.05,3.05,3.05
16/02/16,319860.0,3.05,3.05,3.05,2.93
18/02/16,15230.0,3.04,3.05,3.05,3.04
22/02/16,169750.0,3.0,3.0,3.06,3.0
23/02/16,180880.0,2.96,3.05,3.05,2.95
24/02/16,294450.0,3.07,3.06,3.08,3.06
26/02/16,73900.0,2.96,3.07,3.07,2.95
29/02/16,9210.0,3.07,3.07,3.07,3.07
02/03/16,98530.0,3.08,3.08,3.08,3.05
03/03/16,15150.0,3.03,3.03,3.03,3.03
04/03/16,3090.0,3.09,3.09,3.09,3.09
07/03/16,176740.0,3.1,3.12,3.12,3.1
08/03/16,102410.0,3.12,3.12,3.12,3.08
09/03/16,134330.0,3.12,3.14,3.14,3.08
10/03/16,46520.0,3.09,3.13,3.13,3.09
11/03/16,86520.0,3.09,3.13,3.13,3.08
14/03/16,172450.0,3.13,3.14,3.14,3.13
15/03/16,179880.0,3.09,3.14,3.14,3.09
16/03/16,135160.0,3.09,3.09,3.09,3.02
17/03/16,3090.0,3.09,3.09,3.09,3.09
18/03/16,21630.0,3.09,3.09,3.09,3.09
21/03/16,66700.0,3.03,3.03,3.08,3.02
22/03/16,51960.0,3.09,3.05,3.1,3.05
23/03/16,18450.0,3.02,3.1,3.11,3.02
28/03/16,111660.0,3.1,3.11,3.11,3.05
29/03/16,159620.0,3.08,3.07,3.08,3.06
30/03/16,563300.0,3.06,3.11,3.11,3.05
31/03/16,299300.0,3.05,3.08,3.09,3.05
01/04/16,234850.0,3.05,3.05,3.05,3.05
04/04/16,42960.0,3.1,3.08,3.1,3.06
05/04/16,3080.0,3.08,3.08,3.08,3.08
06/04/16,15420.0,3.08,3.1,3.1,3.08
07/04/16,112170.0,3.04,3.03,3.05,3.02
08/04/16,12210.0,3.04,3.09,3.09,3.04
11/04/16,15410.0,3.09,3.1,3.1,3.05
12/04/16,18921990.0,3.11,3.15,3.4,3.02
13/04/16,383580.0,3.15,3.19,3.19,3.11
14/04/16,155200.0,3.12,3.15,3.15,3.08
15/04/16,172640.0,3.15,3.15,3.15,3.09
18/04/16,116010.0,3.15,3.19,3.24,3.12
20/04/16,286610.0,3.18,3.19,3.19,3.15
21/04/16,3190.0,3.19,3.19,3.19,3.19
22/04/16,87730.0,3.19,3.15,3.19,3.07
25/04/16,3150.0,3.15,3.15,3.15,3.15
26/04/16,3140.0,3.14,3.14,3.14,3.14
27/04/16,21700.0,3.1,3.1,3.1,3.1
28/04/16,9300.0,3.1,3.1,3.1,3.1
29/04/16,149610.0,3.05,3.06,3.1,3.04
02/05/16,245720.0,3.05,3.02,3.05,3.02
03/05/16,21250.0,3.03,3.04,3.04,3.03
04/05/16,24870.0,3.09,3.12,3.12,3.09
05/05/16,57540.0,3.03,3.03,3.03,3.02
06/05/16,15500.0,3.1,3.1,3.1,3.1
06/05/16,15500.0,3.1,3.1,3.1,3.1
10/05/16,33630.0,3.03,3.09,3.09,3.03
11/05/16,232500.0,3.1,3.1,3.1,3.05
12/05/16,21840.0,3.12,3.12,3.12,3.12
16/05/16,3130.0,3.13,3.13,3.13,3.13
17/05/16,27910.0,3.13,3.07,3.13,3.07
18/05/16,12490.0,3.12,3.13,3.13,3.12
