Date,Value,Open,Close,High,Low
15/07/15,14540.0,1.22,1.21,1.22,1.21
16/07/15,104140.0,1.19,1.2,1.22,1.19
20/07/15,46590.0,1.18,1.2,1.23,1.18
21/07/15,1230.0,1.23,1.23,1.23,1.23
22/07/15,49230.0,1.2,1.2,1.23,1.2
23/07/15,132820.0,1.2,1.22,1.22,1.2
23/07/15,132820.0,1.2,1.22,1.22,1.2
23/07/15,132820.0,1.2,1.22,1.22,1.2
24/07/15,253420.0,1.22,1.2,1.22,1.2
28/07/15,65150.0,1.2,1.18,1.2,1.17
29/07/15,223270.0,1.19,1.18,1.19,1.18
30/07/15,60440.0,1.19,1.18,1.19,1.18
31/07/15,35400.0,1.18,1.18,1.18,1.18
03/08/15,330860.0,1.23,1.25,1.27,1.2
04/08/15,12460.0,1.26,1.26,1.26,1.19
06/08/15,8820.0,1.26,1.26,1.26,1.26
10/08/15,860770.0,1.27,1.28,1.34,1.27
11/08/15,236930.0,1.29,1.26,1.3,1.26
12/08/15,42130.0,1.32,1.26,1.32,1.26
13/08/15,80850.0,1.29,1.26,1.29,1.26
14/08/15,197000.0,1.26,1.28,1.28,1.25
17/08/15,80460.0,1.23,1.21,1.23,1.21
18/08/15,8960.0,1.28,1.28,1.28,1.28
19/08/15,216000.0,1.2,1.2,1.2,1.2
20/08/15,37900.0,1.2,1.21,1.23,1.2
24/08/15,485950.0,1.21,1.19,1.21,1.18
26/08/15,11900.0,1.19,1.19,1.19,1.19
27/08/15,47200.0,1.18,1.18,1.18,1.18
28/08/15,25970.0,1.18,1.18,1.19,1.18
01/09/15,12960.0,1.16,1.18,1.18,1.16
02/09/15,19690.0,1.16,1.16,1.16,1.15
03/09/15,20880.0,1.16,1.16,1.16,1.16
04/09/15,19540.0,1.15,1.2,1.2,1.14
08/09/15,92040.0,1.18,1.18,1.18,1.18
10/09/15,244170.0,1.19,1.16,1.19,1.16
11/09/15,256900.0,1.16,1.15,1.16,1.15
14/09/15,8100.0,1.15,1.16,1.16,1.15
15/09/15,10350.0,1.15,1.15,1.15,1.15
15/09/15,10350.0,1.15,1.15,1.15,1.15
15/09/15,10350.0,1.15,1.15,1.15,1.15
16/09/15,25640.0,1.16,1.18,1.18,1.16
17/09/15,222600.0,1.17,1.17,1.17,1.14
18/09/15,578880.0,1.18,1.18,1.18,1.16
21/09/15,7930590.0,1.18,1.3,1.48,1.17
22/09/15,1161650.0,1.3,1.21,1.32,1.2
23/09/15,929410.0,1.21,1.18,1.21,1.18
24/09/15,7080.0,1.18,1.18,1.18,1.18
28/09/15,174510.0,1.18,1.19,1.19,1.18
29/09/15,321990.0,1.19,1.18,1.19,1.18
30/09/15,132230.0,1.18,1.17,1.18,1.17
01/10/15,6982040.000000001,1.16,1.19,1.19,1.1
02/10/15,194710.0,1.22,1.16,1.22,1.16
05/10/15,94550.0,1.16,1.21,1.21,1.14
06/10/15,446990.0,1.18,1.18,1.18,1.17
07/10/15,491200.0,1.2,1.18,1.2,1.17
08/10/15,1700730.0,1.18,1.21,1.21,1.15
09/10/15,1340010.0,1.21,1.22,1.24,1.18
12/10/15,1013190.0,1.22,1.25,1.31,1.21
13/10/15,402860.0,1.27,1.25,1.27,1.22
14/10/15,435860.0,1.25,1.21,1.25,1.2
15/10/15,302230.0,1.23,1.25,1.27,1.23
16/10/15,334400.0,1.22,1.21,1.22,1.21
