Date,Value,Open,Close,High,Low
15/07/15,1475360.0,1.77,1.81,1.85,1.77
16/07/15,563960.0,1.81,1.8,1.81,1.78
20/07/15,224660.0,1.79,1.8,1.8,1.76
21/07/15,473540.0,1.76,1.77,1.79,1.68
22/07/15,59930.0,1.71,1.79,1.79,1.71
23/07/15,57700.0,1.78,1.78,1.78,1.74
23/07/15,57700.0,1.78,1.78,1.78,1.74
23/07/15,57700.0,1.78,1.78,1.78,1.74
24/07/15,33440.0,1.76,1.76,1.76,1.76
27/07/15,197430.0,1.73,1.75,1.77,1.71
28/07/15,675270.0,1.72,1.8,1.83,1.72
29/07/15,477970.0,1.79,1.79,1.79,1.71
30/07/15,669440.0,1.79,1.75,1.81,1.74
31/07/15,172070.0,1.75,1.71,1.77,1.71
03/08/15,30260.0,1.78,1.78,1.78,1.78
04/08/15,19210.0,1.78,1.72,1.78,1.72
05/08/15,63680.0,1.72,1.76,1.76,1.72
06/08/15,2627880.0,1.73,1.85,1.85,1.72
07/08/15,2325830.0,1.85,1.82,1.92,1.8
10/08/15,99500.0,1.81,1.8,1.85,1.8
11/08/15,422240.0,1.84,1.85,1.85,1.81
12/08/15,235230.0,1.87,1.85,1.87,1.82
13/08/15,961100.0,1.85,1.82,1.86,1.81
14/08/15,566440.0,1.82,1.82,1.83,1.82
17/08/15,907380.0,1.85,1.8,1.85,1.79
18/08/15,2105960.0,1.8,1.75,1.8,1.75
19/08/15,158490.0,1.75,1.75,1.8,1.75
20/08/15,6097370.0,1.85,1.9,1.9,1.81
24/08/15,1108670.0,1.9,1.73,1.9,1.72
25/08/15,23400.0,1.8,1.8,1.8,1.8
26/08/15,448500.0,1.75,1.8,1.8,1.75
27/08/15,25900.0,1.85,1.85,1.85,1.85
28/08/15,310810.0,1.83,1.81,1.83,1.74
01/09/15,39540.0,1.83,1.8,1.83,1.79
02/09/15,239760.0,1.8,1.75,1.8,1.75
03/09/15,1473370.0,1.8,1.85,1.85,1.8
04/09/15,41610.0,1.8,1.87,1.87,1.8
07/09/15,4124010.0,1.87,1.9,1.9,1.77
08/09/15,9028250.0,1.93,1.93,2.11,1.85
09/09/15,1933970.0,2.0,1.94,2.01,1.93
10/09/15,785130.0,1.95,1.93,1.95,1.85
11/09/15,5861250.0,1.93,1.99,2.0,1.84
14/09/15,1677400.0,2.0,1.94,2.02,1.94
15/09/15,617630.0,1.93,1.96,1.99,1.93
15/09/15,617630.0,1.93,1.96,1.99,1.93
15/09/15,617630.0,1.93,1.96,1.99,1.93
16/09/15,546660.0,1.99,1.98,2.0,1.93
17/09/15,691780.0,1.99,1.97,1.99,1.92
18/09/15,9781040.0,1.98,2.09,2.1,1.98
21/09/15,11766790.0,2.14,2.25,2.3,2.09
22/09/15,9422850.0,2.3,2.33,2.46,2.27
23/09/15,6647380.0,2.36,2.24,2.4,2.21
24/09/15,2182710.0,2.24,2.28,2.28,2.15
28/09/15,1933890.0,2.25,2.25,2.25,2.16
29/09/15,1195180.0,2.25,2.22,2.25,2.15
30/09/15,1612360.0,2.22,2.12,2.23,2.12
01/10/15,2584020.0,2.11,2.17,2.19,2.04
02/10/15,820360.0,2.18,2.17,2.2,2.13
