Date,Value,Open,Close,High,Low
15/07/15,85240.0,0.74,0.74,0.75,0.74
16/07/15,123760.0,0.74,0.74,0.75,0.73
20/07/15,740.0,0.74,0.74,0.74,0.74
21/07/15,610350.0,0.73,0.72,0.73,0.71
22/07/15,849460.0,0.73,0.73,0.73,0.71
23/07/15,5080.0,0.73,0.72,0.73,0.72
23/07/15,5080.0,0.73,0.72,0.73,0.72
23/07/15,5080.0,0.73,0.72,0.73,0.72
24/07/15,340890.0,0.71,0.73,0.73,0.71
27/07/15,150290.0,0.71,0.74,0.74,0.71
28/07/15,232270.0,0.72,0.74,0.74,0.71
29/07/15,835600.0,0.74,0.74,0.74,0.72
30/07/15,265040.0,0.74,0.75,0.75,0.74
31/07/15,305500.0,0.74,0.75,0.75,0.74
03/08/15,32460.0,0.74,0.74,0.74,0.73
04/08/15,20860.0,0.74,0.75,0.75,0.72
05/08/15,218790.0,0.74,0.74,0.74,0.72
06/08/15,369030.0,0.75,0.74,0.75,0.73
07/08/15,74000.0,0.74,0.74,0.74,0.74
10/08/15,776060.0,0.72,0.74,0.74,0.72
11/08/15,911410.0,0.72,0.74,0.74,0.72
12/08/15,275460.0,0.72,0.74,0.74,0.72
13/08/15,1241740.0,0.72,0.71,0.72,0.71
14/08/15,122700.0,0.72,0.71,0.74,0.71
17/08/15,1291750.0,0.71,0.72,0.72,0.7
18/08/15,1034910.0,0.72,0.72,0.73,0.69
19/08/15,129260.0,0.73,0.7,0.73,0.7
20/08/15,102620.0,0.72,0.72,0.73,0.72
24/08/15,587460.0,0.72,0.68,0.72,0.68
25/08/15,1865150.0,0.67,0.7,0.7,0.64
26/08/15,1560210.0,0.66,0.7,0.7,0.66
27/08/15,160200.0,0.72,0.72,0.73,0.7
28/08/15,944110.0,0.7,0.7,0.72,0.68
01/09/15,288050.0,0.71,0.71,0.72,0.71
02/09/15,440220.0,0.68,0.71,0.71,0.67
03/09/15,1875610.0,0.7,0.71,0.71,0.69
04/09/15,677630.0,0.71,0.72,0.72,0.7
07/09/15,631150.0,0.69,0.72,0.72,0.69
08/09/15,122500.0,0.7,0.72,0.72,0.7
09/09/15,104750.0,0.72,0.72,0.72,0.7
10/09/15,698100.0,0.7,0.7,0.7,0.69
11/09/15,1410.0,0.71,0.7,0.71,0.7
14/09/15,36500.0,0.71,0.71,0.71,0.68
15/09/15,1633510.0,0.69,0.7,0.7,0.68
15/09/15,1633510.0,0.69,0.7,0.7,0.68
15/09/15,1633510.0,0.69,0.7,0.7,0.68
16/09/15,456080.0,0.7,0.7,0.7,0.68
17/09/15,210290.0,0.69,0.7,0.7,0.69
18/09/15,1614080.0,0.7,0.73,0.73,0.69
21/09/15,717140.0,0.73,0.71,0.73,0.7
22/09/15,1055430.0,0.73,0.72,0.73,0.72
23/09/15,390370.0,0.72,0.72,0.72,0.71
24/09/15,674880.0,0.71,0.72,0.72,0.7
28/09/15,328650.0,0.72,0.72,0.72,0.71
29/09/15,39760.0,0.71,0.71,0.71,0.71
30/09/15,730830.0,0.71,0.73,0.73,0.7
01/10/15,182500.0,0.73,0.73,0.73,0.73
02/10/15,163710.0,0.71,0.73,0.73,0.71
05/10/15,83650.0,0.71,0.73,0.73,0.71
06/10/15,4051430.0,0.72,0.7,0.72,0.7
07/10/15,661100.0,0.7,0.71,0.71,0.7
08/10/15,1716230.0,0.71,0.72,0.73,0.71
09/10/15,1226020.0,0.72,0.73,0.73,0.7
12/10/15,585000.0,0.73,0.73,0.74,0.73
13/10/15,389720.0,0.73,0.74,0.75,0.73
14/10/15,51650.0,0.74,0.73,0.74,0.73
15/10/15,491240.0,0.74,0.72,0.74,0.71
16/10/15,751810.0,0.72,0.72,0.72,0.71
19/10/15,674980.0,0.71,0.74,0.74,0.7
20/10/15,322500.0,0.74,0.74,0.74,0.72
21/10/15,1758050.0,0.72,0.74,0.74,0.71
22/10/15,824740.0,0.74,0.73,0.74,0.71
23/10/15,445520.0,0.73,0.72,0.74,0.72
26/10/15,1359190.0,0.72,0.74,0.75,0.72
27/10/15,13912070.0,0.75,0.8,0.82,0.75
28/10/15,2355300.0,0.8,0.79,0.81,0.77
29/10/15,1800520.0,0.79,0.77,0.79,0.75
30/10/15,662590.0,0.78,0.75,0.79,0.75
02/11/15,2046160.0,0.76,0.76,0.78,0.74
03/11/15,377450.0,0.75,0.77,0.78,0.75
04/11/15,489340.0,0.77,0.77,0.77,0.76
05/11/15,256490.0,0.75,0.77,0.77,0.75
06/11/15,3047840.0,0.75,0.73,0.75,0.73
09/11/15,2008240.0,0.73,0.72,0.75,0.72
10/11/15,680390.0,0.74,0.74,0.74,0.73
