Date,Value,Open,Close,High,Low
15/07/15,28600.0,7.15,7.15,7.15,7.15
16/07/15,12566.0,6.77,7.15,7.15,6.77
21/07/15,443301.0,6.77,7.2,7.2,6.76
28/07/15,157280.0,7.13,7.16,7.16,7.13
29/07/15,14320.0,7.16,7.16,7.16,7.16
04/08/15,44174.0,7.16,7.16,7.16,6.78
06/08/15,8592.0,7.16,7.16,7.16,7.16
10/08/15,34323.0,7.16,7.16,7.16,7.15
14/08/15,160228.0,6.76,7.0,7.16,6.76
17/08/15,148730.0,7.0,7.0,7.15,7.0
18/08/15,99722.0,7.0,7.16,7.16,7.0
24/08/15,20760.0,6.8,7.16,7.16,6.8
26/08/15,11676.0,7.0,7.16,7.16,6.3
27/08/15,716.0,7.16,7.16,7.16,7.16
02/09/15,26470.0,4.1,7.05,7.12,4.1
09/09/15,2023396.0,6.98,7.28,7.28,6.51
10/09/15,1949716.0,7.15,7.59,7.59,7.15
11/09/15,596205.0,7.6,7.6,7.7,7.59
14/09/15,687040.0,7.6,7.6,7.6,7.6
18/09/15,14223461.0,7.6,8.37,8.4,7.6
21/09/15,71280.0,8.4,8.4,8.4,8.1
22/09/15,136599.0,8.48,8.37,8.48,8.37
24/09/15,96255.0,8.37,8.37,8.37,8.37
28/09/15,7070.0,7.8,8.3,8.3,7.8
30/09/15,117674.0,7.85,7.84,7.85,7.84
01/10/15,5546016.0,7.84,7.84,7.84,7.84
02/10/15,27300.0,7.8,7.8,7.8,7.8
05/10/15,151150.0,7.8,8.49,8.49,7.79
06/10/15,74617.0,8.39,8.36,8.39,8.36
07/10/15,16660.0,8.33,8.33,8.33,8.33
08/10/15,183261.0,8.33,7.76,8.33,7.76
09/10/15,4738.0,7.76,8.17,8.17,7.76
12/10/15,112037.0,8.17,8.18,8.18,8.17
15/10/15,113848.0,7.79,8.17,8.17,7.79
19/10/15,139060.0,8.18,8.18,8.18,8.18
20/10/15,57260.0,8.18,8.18,8.18,8.18
21/10/15,29912.0,8.18,8.47,8.47,8.18
23/10/15,847.0000000000001,8.47,8.47,8.47,8.47
29/10/15,801304.0,8.18,8.18,8.2,8.18
30/10/15,16360.0,8.18,8.18,8.18,8.18
02/11/15,818.0,8.18,8.18,8.18,8.18
03/11/15,4498700.0,8.18,8.15,8.18,8.15
04/11/15,2776292.0,8.18,8.18,8.18,8.18
05/11/15,3289996.0,8.18,8.18,8.18,8.18
06/11/15,5106883.0,8.17,8.18,8.21,8.17
09/11/15,490800.0,8.18,8.18,8.18,8.18
10/11/15,516574.0,8.18,7.78,8.18,7.78
11/11/15,47986.0,7.75,7.73,7.75,7.73
12/11/15,77660.0,7.38,7.72,7.72,7.38
13/11/15,1945.0,3.88,3.89,3.9,3.88
17/11/15,64130.0,5.83,5.83,5.83,5.83
20/11/15,123916.0,7.2,7.89,7.98,7.2
23/11/15,260334.0,7.89,7.5,7.89,7.25
24/11/15,22400.0,7.0,7.0,7.0,7.0
25/11/15,2520.0,6.3,6.3,6.3,6.3
01/12/15,630.0,6.3,6.3,6.3,6.3
02/12/15,11620.0,7.0,7.4,7.5,7.0
07/12/15,18455.0,7.25,7.4,7.4,7.25
09/12/15,77700.0,7.0,7.0,7.0,7.0
10/12/15,2100.0,7.0,7.0,7.0,7.0
16/12/15,94825.0,6.5,6.15,6.5,6.15
17/12/15,700.0,7.0,7.0,7.0,7.0
18/12/15,2040.0,6.8,6.8,6.8,6.8
22/12/15,1800.0,6.0,6.0,6.0,6.0
23/12/15,8377.0,7.0,6.99,7.0,6.8
29/12/15,700.0,7.0,7.0,7.0,7.0
04/01/16,700.0,7.0,7.0,7.0,7.0
05/01/16,91665.0,6.0,6.05,6.05,6.0
06/01/16,133633.0,6.05,5.7,6.1,5.7
07/01/16,40000.0,5.75,5.0,6.05,5.0
08/01/16,16720.0,4.5,4.7,4.7,4.5
11/01/16,33600.0,4.8,4.8,4.8,4.8
13/01/16,13500.0,4.5,4.5,4.5,4.5
14/01/16,8160.0,4.08,4.08,4.08,4.08
15/01/16,4210.0,4.21,4.21,4.21,4.21
18/01/16,13530.0,4.51,4.51,4.51,4.51
19/01/16,84820.0,4.69,4.79,4.79,4.69
21/01/16,63410.0,4.89,4.85,4.89,4.85
22/01/16,28800.0,4.8,4.8,4.8,4.8
25/01/16,57600.0,4.8,4.8,4.8,4.8
28/01/16,21458800.0,4.6,4.6,4.6,4.4
29/01/16,13600.0,4.4,4.6,4.6,4.4
01/02/16,12700.0,4.01,4.59,4.59,4.01
02/02/16,8500.0,4.3,4.2,4.3,4.2
03/02/16,4550.0,4.55,4.55,4.55,4.55
05/02/16,13770.0,4.59,4.59,4.59,4.59
09/02/16,4220.0,4.22,4.22,4.22,4.22
10/02/16,6177180.0,4.35,6.2,6.2,4.35
11/02/16,15043186.0,5.15,6.19,6.19,4.94
12/02/16,8235094.0,6.15,5.9,6.15,5.24
15/02/16,7279088.0,5.79,5.95,5.95,5.26
16/02/16,1562241.0,5.95,5.9,5.95,5.46
17/02/16,543568.0,5.68,5.9,5.9,5.68
18/02/16,346022.0,5.74,5.9,5.9,5.74
22/02/16,168232.0,5.9,5.89,5.9,5.71
23/02/16,98253.0,5.45,5.87,5.87,5.45
24/02/16,116169.0,5.6,5.85,5.85,5.59
26/02/16,85420.0,5.52,5.85,5.85,5.51
02/03/16,286837.0,5.6,5.78,5.78,5.6
03/03/16,1684.0,5.76,5.54,5.76,5.54
04/03/16,65264.0,5.54,5.59,5.74,5.54
07/03/16,570.0,5.7,5.7,5.7,5.7
09/03/16,71095.0,5.52,5.5,5.52,5.5
10/03/16,540.0,5.4,5.4,5.4,5.4
11/03/16,35106.0,5.41,5.4,5.41,5.4
