Date,Value,Open,Close,High,Low
16/07/15,108730.0,0.83,0.83,0.83,0.83
21/07/15,91140.0,0.83,0.84,0.84,0.82
22/07/15,150860.0,0.82,0.83,0.84,0.82
23/07/15,163060.0,0.84,0.81,0.84,0.81
23/07/15,163060.0,0.84,0.81,0.84,0.81
23/07/15,163060.0,0.84,0.81,0.84,0.81
24/07/15,14580.0,0.81,0.81,0.81,0.81
28/07/15,32820.0,0.8,0.82,0.82,0.8
29/07/15,1620.0,0.8,0.82,0.82,0.8
30/07/15,257600.0,0.8,0.8,0.8,0.8
31/07/15,67530.0,0.81,0.81,0.81,0.8
03/08/15,16000.0,0.8,0.8,0.8,0.8
04/08/15,79330.0,0.8,0.79,0.8,0.79
05/08/15,954280.0,0.8,0.85,0.86,0.8
06/08/15,11540.0,0.82,0.85,0.85,0.82
07/08/15,153930.0,0.84,0.82,0.85,0.79
10/08/15,4150.0,0.83,0.83,0.83,0.83
11/08/15,296920.0,0.82,0.8,0.82,0.8
12/08/15,91200.0,0.8,0.8,0.8,0.8
13/08/15,975760.0,0.8,0.79,0.8,0.77
14/08/15,385130.0,0.81,0.77,0.81,0.77
17/08/15,118090.0,0.77,0.79,0.79,0.75
19/08/15,5600.0,0.8,0.8,0.8,0.8
24/08/15,353950.0,0.77,0.65,0.77,0.65
25/08/15,40950.0,0.65,0.65,0.65,0.65
26/08/15,211420.0,0.69,0.69,0.69,0.65
27/08/15,142860.0,0.69,0.7,0.7,0.66
28/08/15,16300.0,0.68,0.66,0.68,0.66
01/09/15,93130.0,0.67,0.67,0.67,0.67
02/09/15,9660.0,0.69,0.69,0.69,0.69
03/09/15,8070.0,0.67,0.68,0.69,0.67
04/09/15,14440.0,0.68,0.67,0.7,0.67
07/09/15,700.0,0.7,0.7,0.7,0.7
08/09/15,94070.0,0.67,0.66,0.67,0.66
10/09/15,660.0,0.66,0.66,0.66,0.66
11/09/15,98980.0,0.65,0.65,0.66,0.65
14/09/15,26000.0,0.65,0.65,0.65,0.65
15/09/15,25920.0,0.66,0.69,0.69,0.66
15/09/15,25920.0,0.66,0.69,0.69,0.66
15/09/15,25920.0,0.66,0.69,0.69,0.66
16/09/15,4140.0,0.69,0.69,0.69,0.69
17/09/15,17050.0,0.68,0.69,0.69,0.68
18/09/15,26170.0,0.69,0.67,0.69,0.67
21/09/15,936230.0,0.69,0.73,0.74,0.66
22/09/15,350920.0,0.73,0.71,0.73,0.7
23/09/15,44310.0,0.71,0.72,0.72,0.69
24/09/15,72000.0,0.72,0.72,0.72,0.72
28/09/15,206760.0,0.69,0.66,0.7,0.66
29/09/15,41460.0,0.7,0.71,0.72,0.7
30/09/15,69000.0,0.69,0.69,0.69,0.69
01/10/15,37260.0,0.69,0.69,0.69,0.69
02/10/15,54509.99999999999,0.69,0.69,0.69,0.69
05/10/15,29040.0,0.69,0.67,0.69,0.67
06/10/15,55610.0,0.67,0.67,0.67,0.67
07/10/15,7767280.0,0.66,1.0,1.0,0.66
