Date,Value,Open,Close,High,Low
15/07/15,622930.0,0.146,0.152,0.152,0.146
16/07/15,837790.0,0.153,0.15,0.154,0.146
20/07/15,858990.0,0.147,0.151,0.156,0.147
21/07/15,726190.0,0.15,0.145,0.15,0.145
22/07/15,338300.0,0.146,0.148,0.151,0.146
23/07/15,556840.0,0.148,0.145,0.148,0.145
23/07/15,556840.0,0.148,0.145,0.148,0.145
23/07/15,556840.0,0.148,0.145,0.148,0.145
24/07/15,388010.0,0.145,0.148,0.151,0.145
27/07/15,629180.0,0.147,0.149,0.154,0.144
28/07/15,135400.0,0.149,0.146,0.149,0.146
29/07/15,67620.0,0.147,0.147,0.147,0.147
30/07/15,19110.0,0.147,0.147,0.147,0.147
31/07/15,169120.0,0.146,0.151,0.152,0.146
03/08/15,108480.0,0.151,0.147,0.151,0.147
04/08/15,976360.0,0.147,0.15,0.155,0.146
05/08/15,3352640.0,0.15,0.152,0.16,0.15
06/08/15,450130.0,0.152,0.152,0.156,0.15
07/08/15,689500.0,0.151,0.148,0.151,0.148
10/08/15,314600.0,0.147,0.146,0.15,0.146
11/08/15,1154580.0,0.146,0.143,0.146,0.143
12/08/15,89210.0,0.144,0.143,0.145,0.143
13/08/15,293610.0,0.143,0.145,0.145,0.142
14/08/15,2199260.0,0.143,0.14,0.145,0.14
17/08/15,927080.0,0.14,0.135,0.14,0.135
18/08/15,367640.0,0.134,0.134,0.138,0.13
19/08/15,232750.0,0.135,0.136,0.137,0.134
20/08/15,205810.00000000003,0.135,0.138,0.138,0.135
24/08/15,293380.0,0.134,0.13,0.134,0.13
25/08/15,250220.0,0.129,0.13,0.13,0.128
26/08/15,208800.0,0.129,0.129,0.133,0.129
27/08/15,167110.0,0.13,0.133,0.136,0.13
28/08/15,272890.0,0.136,0.138,0.144,0.136
01/09/15,31980.000000000004,0.138,0.139,0.14,0.138
02/09/15,6840.0,0.134,0.138,0.139,0.134
03/09/15,105600.0,0.136,0.135,0.136,0.135
07/09/15,117070.0,0.135,0.133,0.135,0.133
08/09/15,66000.0,0.132,0.132,0.132,0.132
09/09/15,88550.0,0.132,0.133,0.135,0.131
10/09/15,13300.0,0.133,0.133,0.133,0.133
11/09/15,154070.0,0.137,0.134,0.137,0.134
14/09/15,72290.00000000001,0.136,0.136,0.137,0.136
15/09/15,147490.0,0.138,0.137,0.139,0.137
15/09/15,147490.0,0.138,0.137,0.139,0.137
15/09/15,147490.0,0.138,0.137,0.139,0.137
16/09/15,114160.00000000001,0.14,0.139,0.14,0.138
17/09/15,661610.0,0.139,0.142,0.153,0.139
18/09/15,74960.0,0.144,0.143,0.148,0.143
21/09/15,1307030.0,0.145,0.143,0.155,0.143
22/09/15,719220.0,0.144,0.149,0.15,0.144
23/09/15,542520.0,0.153,0.146,0.153,0.145
24/09/15,467100.0,0.145,0.145,0.15,0.144
28/09/15,857900.0,0.145,0.143,0.15,0.142
29/09/15,358450.0,0.142,0.146,0.148,0.142
30/09/15,261990.0,0.146,0.144,0.146,0.144
01/10/15,322080.0,0.146,0.147,0.147,0.144
02/10/15,716120.0,0.148,0.15,0.153,0.148
05/10/15,7831060.0,0.149,0.155,0.166,0.149
06/10/15,1043050.0,0.155,0.151,0.156,0.15
07/10/15,771860.0,0.151,0.151,0.151,0.15
08/10/15,394970.0,0.152,0.153,0.154,0.149
09/10/15,565770.0,0.155,0.149,0.155,0.149
12/10/15,323680.0,0.149,0.15,0.152,0.148
13/10/15,281060.0,0.151,0.149,0.154,0.149
14/10/15,496140.0,0.148,0.149,0.152,0.148
15/10/15,155950.0,0.149,0.149,0.153,0.149
16/10/15,663930.0,0.15,0.148,0.152,0.148
19/10/15,208150.0,0.149,0.149,0.151,0.148
20/10/15,206090.0,0.148,0.149,0.15,0.148
21/10/15,42989880.0,0.15,0.175,0.205,0.15
22/10/15,12665640.0,0.178,0.175,0.195,0.175
23/10/15,2767320.0,0.172,0.171,0.177,0.165
26/10/15,1303540.0,0.171,0.173,0.178,0.17
27/10/15,1145810.0,0.174,0.171,0.174,0.166
28/10/15,1683520.0,0.171,0.161,0.171,0.16
29/10/15,668080.0,0.163,0.158,0.163,0.157
30/10/15,868250.0,0.16,0.157,0.16,0.154
02/11/15,1466510.0,0.157,0.154,0.158,0.153
03/11/15,1391190.0,0.155,0.156,0.165,0.155
04/11/15,37510.0,0.156,0.161,0.161,0.156
05/11/15,1896480.0,0.161,0.153,0.161,0.15
06/11/15,1150200.0,0.151,0.15,0.155,0.15
09/11/15,490080.0,0.153,0.15,0.154,0.149
10/11/15,3563570.0,0.15,0.148,0.16,0.147
11/11/15,126350.0,0.148,0.148,0.15,0.148
12/11/15,709220.0,0.149,0.15,0.154,0.149
13/11/15,146370.0,0.15,0.148,0.151,0.148
16/11/15,177720.0,0.148,0.149,0.15,0.147
