Date,Value,Open,Close,High,Low
16/07/15,64000.0,175.0,190.0,190.0,175.0
20/07/15,9450.0,189.0,189.0,189.0,189.0
21/07/15,17350.0,177.0,170.0,177.0,170.0
22/07/15,5100.0,170.0,170.0,170.0,170.0
28/07/15,4380.0,146.0,146.0,146.0,146.0
29/07/15,51303.0,147.0,147.0,147.0,146.0
14/08/15,7000.0,140.0,140.0,140.0,140.0
17/08/15,1400.0,140.0,140.0,140.0,140.0
18/08/15,9800.0,140.0,140.0,140.0,140.0
25/08/15,4200.0,140.0,140.0,140.0,140.0
07/09/15,12550.0,155.0,160.0,160.0,155.0
10/09/15,11200.0,160.0,160.0,160.0,160.0
18/09/15,17000.0,170.0,170.0,170.0,170.0
23/09/15,83800.0,185.0,210.0,210.0,185.0
24/09/15,2200.0,220.0,220.0,220.0,220.0
09/10/15,1880.0,188.0,188.0,188.0,188.0
12/10/15,11280.0,188.0,188.0,188.0,188.0
22/10/15,7160.0,179.0,179.0,179.0,179.0
27/10/15,126370.0,170.0,180.0,180.0,170.0
28/10/15,144000.0,180.0,180.0,180.0,180.0
29/10/15,57400.0,180.0,170.0,180.0,170.0
02/11/15,222700.0,170.0,185.0,185.0,170.0
03/11/15,3760.0,188.0,188.0,188.0,188.0
09/11/15,3220.0,161.0,161.0,161.0,161.0
12/11/15,24050.0,161.0,160.0,161.0,160.0
02/12/15,4800.0,160.0,160.0,160.0,160.0
03/12/15,3200.0,160.0,160.0,160.0,160.0
09/12/15,30100.0,151.0,150.0,151.0,150.0
15/01/16,3000.0,150.0,150.0,150.0,150.0
22/02/16,1520.0,152.0,152.0,152.0,152.0
29/02/16,10640.0,152.0,152.0,152.0,152.0
14/03/16,44794.0,159.9,160.0,160.0,159.9
15/03/16,16000.0,160.0,160.0,160.0,160.0
16/03/16,98250.0,150.0,155.0,155.0,150.0
17/03/16,10500.0,150.0,150.0,150.0,150.0
28/03/16,3990.0,133.0,133.0,133.0,133.0
29/03/16,464937.0,154.9,199.5,199.5,154.9
30/03/16,707751.0,199.5,227.0,298.0,199.5
31/03/16,381600.0,228.0,250.0,270.0,228.0
01/04/16,117620.0,260.0,230.0,260.0,200.0
04/04/16,15225.0,158.1,187.0,187.0,158.1
05/04/16,63690.0,187.0,230.0,230.0,187.0
07/04/16,2270.0,227.0,227.0,227.0,227.0
12/04/16,107476.0,193.0,200.0,200.0,193.0
13/04/16,12100.0,195.0,205.0,205.0,195.0
14/04/16,11940.0,196.0,206.0,206.0,195.0
18/04/16,19500.0,195.0,195.0,195.0,195.0
19/04/16,11680.0,193.0,195.0,195.0,193.0
25/04/16,25350.0,195.0,195.0,195.0,195.0
28/04/16,3920.0,196.0,196.0,196.0,196.0
29/04/16,95000.0,190.0,190.0,190.0,190.0
02/05/16,5700.0,190.0,190.0,190.0,190.0
11/05/16,15200.0,190.0,190.0,190.0,190.0
13/05/16,1900.0,190.0,190.0,190.0,190.0
16/05/16,19000.0,190.0,190.0,190.0,190.0
17/05/16,3800.0,190.0,190.0,190.0,190.0
19/05/16,3800.0,190.0,190.0,190.0,190.0
20/05/16,13300.0,190.0,190.0,190.0,190.0
07/06/16,5550.0,185.0,185.0,185.0,185.0
09/06/16,3700.0,185.0,185.0,185.0,185.0
10/06/16,31450.0,185.0,185.0,185.0,185.0
28/06/16,7400.0,185.0,185.0,185.0,185.0
04/07/16,5460.0,182.0,182.0,182.0,182.0
08/07/16,83260.0,181.0,181.0,181.0,181.0
