Date,Value,Open,Close,High,Low
16/07/15,1370.0,1.37,1.37,1.37,1.37
21/07/15,5200.0,1.3,1.3,1.3,1.3
22/07/15,29730.0,1.29,1.3,1.3,1.29
24/07/15,3870.0,1.29,1.29,1.29,1.29
27/07/15,1290.0,1.29,1.29,1.29,1.29
28/07/15,29400.0,1.4,1.4,1.4,1.4
29/07/15,14000.0,1.4,1.4,1.4,1.4
30/07/15,7320.0,1.22,1.22,1.22,1.22
03/08/15,28650.0,1.25,1.23,1.25,1.23
06/08/15,28800.0,1.2,1.2,1.2,1.2
07/08/15,11700.0,1.17,1.17,1.17,1.17
11/08/15,29250.0,1.17,1.17,1.17,1.17
13/08/15,48730.0,1.18,1.15,1.18,1.15
14/08/15,16099.999999999998,1.15,1.15,1.15,1.15
19/08/15,56990.0,1.17,1.12,1.17,1.12
20/08/15,22000.0,1.1,1.1,1.1,1.1
24/08/15,292340.0,1.0,0.84,1.0,0.84
25/08/15,6520.0,0.8,0.84,0.84,0.8
26/08/15,3580.0,1.23,1.16,1.23,1.16
27/08/15,10260.0,1.14,1.14,1.14,1.14
28/08/15,17380.0,1.1,1.08,1.1,1.08
01/09/15,46680.0,1.1,1.36,1.41,1.1
02/09/15,9180.0,1.38,0.95,1.38,0.95
03/09/15,220140.0,1.08,1.0,1.08,1.0
04/09/15,14920.0,0.99,1.0,1.0,0.99
07/09/15,87010.0,1.02,0.84,1.02,0.83
09/09/15,91680.0,0.98,0.85,0.98,0.85
10/09/15,900.0,0.9,0.9,0.9,0.9
11/09/15,24300.0,0.9,0.9,0.9,0.9
14/09/15,26760.0,0.9,0.88,0.9,0.88
15/09/15,70110.0,0.87,0.9,0.9,0.87
15/09/15,70110.0,0.87,0.9,0.9,0.87
15/09/15,70110.0,0.87,0.9,0.9,0.87
16/09/15,30690.0,0.9,0.86,0.9,0.86
17/09/15,34410.0,0.87,0.85,0.87,0.85
18/09/15,59530.0,0.85,0.93,0.94,0.85
23/09/15,824710.0,0.87,0.94,1.12,0.86
24/09/15,84610.0,1.0,0.91,1.0,0.91
28/09/15,64330.0,0.98,0.91,0.98,0.91
29/09/15,6620.0,0.98,0.95,0.98,0.91
30/09/15,39570.0,0.95,0.91,0.95,0.91
01/10/15,2854510.0,0.91,1.02,1.25,0.9
02/10/15,4347520.0,1.05,1.32,1.39,1.05
05/10/15,7046450.0,1.38,1.68,1.68,1.38
06/10/15,17312760.0,1.75,2.07,2.11,1.75
07/10/15,7854750.0,2.15,1.8,2.2,1.8
08/10/15,3866780.0,1.7,1.54,1.75,1.51
09/10/15,2301910.0,1.5,1.38,1.5,1.38
12/10/15,895500.0,1.49,1.38,1.5,1.38
13/10/15,562840.0,1.41,1.28,1.48,1.27
14/10/15,459970.0,1.4,1.32,1.44,1.29
15/10/15,2806680.0,1.33,1.4,1.55,1.29
16/10/15,438870.0,1.4,1.38,1.4,1.32
19/10/15,376650.0,1.35,1.33,1.4,1.24
20/10/15,644530.0,1.33,1.2,1.33,1.2
21/10/15,429860.0,1.2,1.3,1.3,1.19
22/10/15,111190.0,1.3,1.29,1.3,1.2
23/10/15,124380.0,1.26,1.22,1.29,1.2
26/10/15,148990.0,1.21,1.25,1.25,1.2
27/10/15,47090.0,1.26,1.25,1.26,1.21
28/10/15,60270.0,1.23,1.23,1.23,1.23
29/10/15,121380.0,1.23,1.25,1.25,1.19
30/10/15,99600.0,1.22,1.27,1.29,1.2
02/11/15,50380.0,1.27,1.27,1.27,1.21
03/11/15,304320.0,1.24,1.15,1.24,1.14
04/11/15,40620.0,1.2,1.2,1.2,1.18
05/11/15,119170.0,1.19,1.2,1.2,1.18
06/11/15,31200.0,1.2,1.2,1.2,1.2
09/11/15,68930.0,1.18,1.19,1.19,1.13
10/11/15,13460.000000000002,1.12,1.14,1.14,1.12
11/11/15,52840.0,1.15,1.14,1.15,1.14
12/11/15,56320.0,1.12,1.07,1.12,1.07
13/11/15,257510.0,1.07,1.07,1.07,0.99
16/11/15,53810.0,1.0,1.08,1.09,1.0
17/11/15,34230.0,1.07,1.12,1.14,1.07
20/11/15,36950.0,1.15,1.17,1.2,1.15
23/11/15,153580.0,1.12,1.06,1.16,1.05
24/11/15,24410.0,1.06,1.11,1.14,1.04
25/11/15,12740.0,1.04,1.1,1.1,1.04
27/11/15,110080.0,1.04,1.1,1.1,1.03
01/12/15,54590.0,1.03,1.03,1.03,1.03
02/12/15,191420.0,1.02,1.12,1.12,1.02
03/12/15,1334610.0,1.12,1.23,1.28,1.12
04/12/15,327210.0,1.24,1.12,1.26,1.08
07/12/15,248950.0,1.18,1.15,1.27,1.05
08/12/15,285300.0,1.05,1.19,1.2,1.05
10/12/15,70540.0,1.09,1.07,1.14,1.05
11/12/15,201140.0,1.13,1.09,1.15,1.05
14/12/15,1070.0,1.07,1.07,1.07,1.07
15/12/15,322310.0,1.08,1.1,1.12,1.01
16/12/15,88830.0,1.02,1.08,1.09,1.02
17/12/15,38870.0,1.03,1.07,1.07,1.01
18/12/15,2140.0,1.07,1.07,1.07,1.07
21/12/15,68090.0,1.01,1.02,1.02,1.01
22/12/15,99230.0,1.02,1.01,1.05,1.01
23/12/15,216140.0,1.02,1.0,1.02,1.0
28/12/15,37620.0,0.99,0.99,0.99,0.99
29/12/15,28120.0,0.98,1.0,1.02,0.98
04/01/16,15000.0,1.0,1.0,1.0,1.0
05/01/16,88130.0,0.98,0.98,0.98,0.95
07/01/16,15840.0,0.99,0.99,0.99,0.99
08/01/16,26880.0,0.96,0.96,0.96,0.96
11/01/16,29250.0,0.96,0.92,0.96,0.92
12/01/16,57620.0,0.94,1.0,1.02,0.92
14/01/16,47580.0,1.0,0.88,1.0,0.88
15/01/16,2060.0,1.04,1.02,1.04,1.02
18/01/16,1780.0,0.89,0.89,0.89,0.89
19/01/16,64100.0,0.88,0.93,0.93,0.88
20/01/16,21680.0,0.89,0.9,0.95,0.89
25/01/16,900.0,0.9,0.9,0.9,0.9
28/01/16,122060.0,0.89,0.98,1.1,0.89
01/02/16,6860.0,0.98,0.98,0.98,0.98
02/02/16,44950.0,0.98,1.05,1.05,0.98
03/02/16,71870.0,1.05,1.08,1.08,1.05
04/02/16,180820.0,1.0,1.09,1.14,0.98
05/02/16,130480.0,1.12,1.01,1.12,1.0
09/02/16,70320.0,1.0,1.03,1.03,1.0
10/02/16,28280.0,1.01,1.01,1.01,1.01
11/02/16,67620.0,0.99,1.0,1.08,0.99
12/02/16,41200.0,1.0,1.06,1.06,1.0
15/02/16,15150.0,1.01,1.01,1.01,1.01
16/02/16,154790.0,1.0,1.01,1.1,1.0
17/02/16,1010.0,1.01,1.01,1.01,1.01
18/02/16,7130.0,1.01,1.07,1.07,1.01
19/02/16,43520.0,1.06,1.01,1.06,1.01
22/02/16,20810.0,0.99,1.01,1.01,0.99
23/02/16,1347390.0,1.02,1.25,1.29,1.01
24/02/16,2588730.0,1.32,1.35,1.44,1.29
26/02/16,777250.0,1.31,1.25,1.38,1.21
29/02/16,82890.0,1.18,1.19,1.22,1.12
01/03/16,88690.0,1.11,1.19,1.24,1.1
02/03/16,79640.0,1.09,1.19,1.19,1.08
03/03/16,76340.0,1.1,1.18,1.18,1.1
04/03/16,162930.0,1.1,1.11,1.19,1.1
07/03/16,704980.0,1.14,1.13,1.23,1.09
08/03/16,37750.0,1.16,1.18,1.19,1.16
09/03/16,246960.0,1.1,1.2,1.2,1.1
10/03/16,52150.0,1.19,1.15,1.19,1.14
11/03/16,15960.0,1.15,1.2,1.2,1.11
14/03/16,22030.0,1.19,1.11,1.19,1.11
15/03/16,73770.0,1.12,1.18,1.21,1.12
16/03/16,1083970.0,1.16,1.22,1.32,1.16
17/03/16,275580.0,1.22,1.3,1.3,1.2
18/03/16,1426520.0,1.3,1.25,1.41,1.25
21/03/16,196250.0,1.25,1.33,1.33,1.25
22/03/16,579090.0,1.29,1.26,1.29,1.21
23/03/16,235820.0,1.23,1.25,1.25,1.22
28/03/16,53840.0,1.25,1.24,1.25,1.21
29/03/16,639120.0,1.24,1.27,1.39,1.24
30/03/16,50800.0,1.27,1.27,1.27,1.27
31/03/16,411420.0,1.24,1.37,1.39,1.24
01/04/16,271150.0,1.31,1.34,1.34,1.25
04/04/16,269270.0,1.35,1.32,1.35,1.3
05/04/16,6690.0,1.37,1.32,1.37,1.32
06/04/16,286090.0,1.26,1.23,1.31,1.23
07/04/16,148650.0,1.23,1.22,1.25,1.22
08/04/16,19190.0,1.3,1.27,1.3,1.27
11/04/16,37690.0,1.27,1.26,1.27,1.24
12/04/16,97380.0,1.23,1.28,1.28,1.23
13/04/16,171800.0,1.26,1.26,1.3,1.26
14/04/16,34290.0,1.27,1.27,1.27,1.27
15/04/16,25000.0,1.27,1.29,1.29,1.21
18/04/16,100580.0,1.27,1.22,1.27,1.22
19/04/16,35310.0,1.21,1.22,1.22,1.21
20/04/16,124030.0,1.21,1.23,1.23,1.21
21/04/16,154530.0,1.23,1.23,1.23,1.19
22/04/16,309930.0,1.25,1.23,1.25,1.17
25/04/16,191330.0,1.23,1.26,1.26,1.18
26/04/16,98400.0,1.2,1.2,1.2,1.2
27/04/16,169810.0,1.2,1.25,1.27,1.16
28/04/16,41060.0,1.27,1.2,1.27,1.17
29/04/16,4920.0,1.2,1.2,1.26,1.2
02/05/16,14550.0,1.2,1.25,1.26,1.17
03/05/16,43620.0,1.17,1.25,1.26,1.17
04/05/16,67570.0,1.17,1.22,1.22,1.17
05/05/16,40280.0,1.22,1.24,1.24,1.22
06/05/16,112580.0,1.24,1.23,1.24,1.08
06/05/16,112580.0,1.24,1.23,1.24,1.08
10/05/16,5810.0,1.11,1.22,1.22,1.11
11/05/16,106610.0,1.15,1.21,1.21,1.15
12/05/16,718160.0,1.22,1.2,1.25,1.11
13/05/16,116780.0,1.14,1.2,1.2,1.14
16/05/16,19453230.0,1.25,1.8,1.8,1.25
17/05/16,91073670.0,2.09,2.7,2.7,2.0
18/05/16,162018400.0,2.9,2.2,3.49,2.16
19/05/16,31509380.0,2.21,1.91,2.39,1.9
20/05/16,15224560.0,2.0,2.08,2.24,2.0
23/05/16,5305330.0,2.07,1.94,2.1,1.92
24/05/16,7497270.0,1.92,1.82,1.98,1.82
25/05/16,6536110.0,1.8,1.74,1.81,1.66
26/05/16,5644400.0,1.71,1.66,1.74,1.55
27/05/16,20756660.0,1.69,2.0,2.01,1.69
30/05/16,9870400.0,1.95,1.88,2.08,1.81
31/05/16,5180450.0,1.88,1.71,1.88,1.67
01/06/16,3258010.0,1.7,1.77,1.85,1.68
02/06/16,2339970.0,1.77,1.75,1.77,1.7
03/06/16,1259990.0,1.75,1.77,1.8,1.75
06/06/16,1288100.0,1.79,1.71,1.79,1.7
07/06/16,1837290.0,1.71,1.69,1.74,1.69
08/06/16,2013930.0,1.69,1.72,1.79,1.69
09/06/16,1712760.0,1.73,1.7,1.73,1.69
10/06/16,974110.0,1.71,1.73,1.75,1.69
13/06/16,862420.0,1.73,1.7,1.74,1.7
14/06/16,3202880.0,1.7,1.65,1.7,1.64
15/06/16,1400680.0,1.65,1.63,1.65,1.58
16/06/16,972250.0,1.6,1.66,1.73,1.6
17/06/16,853110.0,1.65,1.67,1.71,1.65
20/06/16,972760.0,1.67,1.63,1.68,1.62
21/06/16,2098570.0,1.62,1.61,1.65,1.6
22/06/16,405640.0,1.61,1.62,1.65,1.6
23/06/16,812640.0,1.62,1.62,1.67,1.58
24/06/16,1372780.0,1.62,1.58,1.65,1.58
27/06/16,544030.0,1.6,1.62,1.63,1.58
28/06/16,51229390.0,1.65,1.93,2.2,1.65
29/06/16,13468080.0,1.99,1.87,2.05,1.84
30/06/16,3798750.0,1.9,1.83,1.96,1.81
01/07/16,3315170.0,1.88,1.8,1.9,1.77
04/07/16,11639300.0,1.8,1.97,1.98,1.68
05/07/16,10189740.0,2.0,1.88,2.09,1.88
07/07/16,1300140.0,1.96,1.86,1.96,1.83
08/07/16,928910.0,1.91,1.86,1.91,1.83
11/07/16,54993060.0,1.91,2.25,2.43,1.83
12/07/16,36253230.0,2.29,2.12,2.37,2.0
13/07/16,3185490.0,2.15,2.16,2.2,2.12
14/07/16,8198620.0,2.17,2.2,2.3,2.14
