Date,Value,Open,Close,High,Low
15/07/15,7938770.0,304.0,310.0,310.0,304.0
16/07/15,307000.0,307.0,307.0,307.0,307.0
20/07/15,123154.0,307.2,307.4,310.0,307.2
21/07/15,1763154.0,307.2,307.2,310.0,307.0
22/07/15,371474.0,307.2,307.0,307.2,307.0
23/07/15,506928.0,307.2,309.0,309.0,307.0
23/07/15,506928.0,307.2,309.0,309.0,307.0
23/07/15,506928.0,307.2,309.0,309.0,307.0
24/07/15,13854398.0,305.0,315.4,316.0,305.0
27/07/15,9661360.0,308.0,312.0,314.0,306.8
28/07/15,6860858.0,309.0,308.8,309.0,307.2
29/07/15,8466886.0,306.0,306.0,316.0,306.0
30/07/15,6629990.0,306.0,314.0,315.0,305.8
31/07/15,6595930.0,306.0,310.0,310.0,305.8
03/08/15,7405280.0,306.0,306.0,310.0,306.0
04/08/15,12694048.0,305.0,305.0,306.0,304.8
05/08/15,6798660.0,305.0,307.0,308.0,305.0
06/08/15,6767960.0,305.0,305.0,305.2,305.0
07/08/15,918050.0,305.0,305.0,305.0,305.0
10/08/15,109852.0,307.0,306.6,307.0,305.0
11/08/15,3267364.0,307.0,306.6,307.0,304.8
12/08/15,210754.0,305.0,306.6,306.6,305.0
13/08/15,274390.0,306.6,305.0,306.6,304.0
14/08/15,218880.0,304.0,304.0,304.0,304.0
17/08/15,407100.0,303.0,303.0,304.0,300.0
18/08/15,72352.0,306.6,301.0,306.6,301.0
19/08/15,1347290.0,300.2,305.0,305.0,300.0
20/08/15,3420050.0,300.0,300.0,305.0,300.0
24/08/15,23506068.0,300.0,299.4,300.0,299.4
25/08/15,6043784.0,299.0,295.0,299.0,295.0
26/08/15,19278832.0,299.8,299.8,300.0,298.0
27/08/15,9655712.0,307.8,300.0,307.8,299.2
28/08/15,24244982.0,300.0,300.0,300.0,299.0
01/09/15,364790.0,299.0,300.0,300.0,299.0
02/09/15,16327208.0,298.8,300.0,305.0,298.0
03/09/15,21599854.0,305.0,300.0,305.0,297.8
04/09/15,672360.0,300.0,298.2,302.0,298.2
07/09/15,107320.0,298.2,298.0,298.2,298.0
08/09/15,121982.0,298.0,297.0,298.0,297.0
09/09/15,6093476.0,297.0,299.2,300.2,297.0
10/09/15,13705132.0,302.0,300.0,302.0,299.0
11/09/15,248754.0,300.2,298.2,300.2,298.0
14/09/15,8336880.0,297.0,297.0,300.0,297.0
15/09/15,338620.0,297.0,297.0,299.0,297.0
15/09/15,338620.0,297.0,297.0,299.0,297.0
15/09/15,338620.0,297.0,297.0,299.0,297.0
16/09/15,115790.0,297.0,296.8,297.0,296.8
17/09/15,142122.0,296.6,298.0,298.0,295.6
18/09/15,3000.0,300.0,300.0,300.0,300.0
21/09/15,661600.0,300.0,300.0,300.0,296.0
22/09/15,301562.0,300.0,295.6,300.0,295.6
23/09/15,38740.0,298.0,298.0,298.0,298.0
24/09/15,354340.0,296.0,295.0,296.0,295.0
28/09/15,179936.0,295.0,295.0,295.0,294.8
30/09/15,8880.0,296.0,296.0,296.0,296.0
01/10/15,23600.0,295.0,295.0,295.0,295.0
02/10/15,4259800.0,295.0,295.0,295.0,295.0
05/10/15,280114.0,299.0,294.8,299.0,294.4
06/10/15,436192.0,295.0,295.0,295.0,294.0
07/10/15,676136.0,294.2,294.0,294.2,293.0
08/10/15,41460.0,294.0,300.0,300.0,293.0
09/10/15,97848.0,298.8,296.0,299.0,293.0
12/10/15,88742.0,296.2,295.0,296.2,295.0
13/10/15,684152.0,296.2,297.0,297.0,296.0
14/10/15,71300.0,297.0,300.0,300.0,296.0
15/10/15,168706.0,298.0,295.0,298.0,294.4
16/10/15,725350.0,299.0,296.0,299.0,296.0
19/10/15,298328.0,295.0,295.6,295.6,295.0
20/10/15,59200.0,296.0,296.0,296.0,296.0
21/10/15,14950.0,299.0,299.0,299.0,299.0
22/10/15,466674.0,299.0,299.0,299.0,295.8
23/10/15,328724.0,298.0,299.6,299.8,298.0
26/10/15,1068836.0,298.0,300.0,300.0,298.0
27/10/15,1345990.0,295.8,300.0,300.0,295.8
28/10/15,28093440.0,296.0,300.0,300.0,295.6
29/10/15,371940.0,296.0,300.0,302.0,296.0
30/10/15,627752.0,302.0,306.0,306.0,300.2
03/11/15,27200.0,305.0,305.0,305.0,300.0
04/11/15,395312.0,305.0,303.0,305.0,295.0
05/11/15,30020.0,302.0,300.0,302.0,300.0
06/11/15,222360.0,300.0,301.0,303.0,300.0
09/11/15,117560.0,302.0,303.0,303.0,301.0
10/11/15,1512570.0,300.0,303.0,303.0,300.0
11/11/15,27270.0,303.0,303.0,303.0,303.0
17/11/15,343708.0,296.4,299.6,299.6,296.0
20/11/15,124366.0,297.0,296.0,299.6,295.0
23/11/15,218330.0,296.0,296.0,296.0,295.0
24/11/15,147500.0,295.0,295.0,295.0,295.0
25/11/15,332732.0,295.0,294.2,295.0,293.8
26/11/15,5789042.0,294.2,294.0,294.4,294.0
27/11/15,305552.0,293.8,293.8,293.8,293.8
01/12/15,29396.0,294.0,293.8,294.0,293.8
02/12/15,7365244.0,293.2,293.8,293.8,293.2
03/12/15,55670.0,293.0,293.0,293.0,293.0
04/12/15,93970.0,294.0,293.0,294.0,293.0
07/12/15,90520.0,292.0,292.0,292.0,292.0
08/12/15,429680.0,290.4,290.2,293.0,290.2
09/12/15,293050.0,290.2,290.2,290.2,290.0
10/12/15,420500.0,290.0,290.0,290.0,290.0
14/12/15,55100.0,290.0,290.0,290.0,290.0
15/12/15,150800.0,290.0,290.0,290.0,290.0
16/12/15,115764.0,289.8,289.4,289.8,289.2
17/12/15,2447060.0,290.0,289.0,290.0,289.0
18/12/15,1348732.0,289.0,284.0,289.0,284.0
21/12/15,694634.0,285.0,285.0,287.0,282.0
22/12/15,501300.0,285.0,282.0,285.0,282.0
23/12/15,900028.0,282.0,280.0,282.0,280.0
28/12/15,4016000.0,280.0,280.0,282.0,279.2
29/12/15,7033914.0,280.0,275.0,282.0,275.0
05/01/16,30360.0,276.0,276.0,276.0,276.0
06/01/16,353280.0,276.0,276.0,276.0,276.0
07/01/16,401730.0,276.0,275.0,276.0,275.0
08/01/16,30440.0,275.0,278.8,278.8,275.0
11/01/16,917318.0,276.0,275.0,276.0,275.0
12/01/16,622016.0,275.0,275.0,278.6,275.0
13/01/16,1526522.0,273.0,272.4,274.0,272.4
14/01/16,961250.0,272.4,268.0,272.4,268.0
15/01/16,1033190.0,268.0,259.0,268.0,259.0
18/01/16,411418.0,252.2,250.0,252.2,250.0
19/01/16,1034836.0,250.0,249.0,267.8,249.0
20/01/16,498758.0,249.0,240.0,249.0,239.6
21/01/16,3676478.0,238.4,235.0,250.0,232.0
22/01/16,14112.0,235.2,235.2,235.2,235.2
25/01/16,407324.0,238.0,250.0,250.0,238.0
26/01/16,794140.0,250.0,270.0,275.0,250.0
27/01/16,658578.0,270.0,276.0,278.6,270.0
28/01/16,46914.0,276.0,276.0,276.0,275.8
29/01/16,308800.0,277.0,270.0,278.0,270.0
01/02/16,251444.0,278.0,278.0,280.0,270.0
02/02/16,320288.0,279.8,279.0,279.8,268.0
03/02/16,313680.0,260.0,263.0,279.0,256.0
04/02/16,5546.0,277.6,277.0,277.6,277.0
05/02/16,41340.0,277.0,275.0,277.0,275.0
09/02/16,35460.0,265.0,274.0,275.0,265.0
10/02/16,21720.0,274.0,270.0,274.0,270.0
11/02/16,201400.0,265.0,265.0,265.0,265.0
12/02/16,400470.0,265.0,267.0,270.0,265.0
15/02/16,427930.0,267.0,273.0,275.0,267.0
16/02/16,89620.0,274.0,270.0,274.0,270.0
17/02/16,591560.0,270.0,274.0,275.0,270.0
18/02/16,578300.0,272.0,272.0,272.0,270.0
19/02/16,527832.0,273.8,274.6,275.0,267.0
22/02/16,201800.0,269.0,274.0,274.0,269.0
23/02/16,269820.0,269.0,270.0,270.0,269.0
24/02/16,30190.0,274.0,274.0,275.0,274.0
26/02/16,164430.0,274.0,273.0,275.0,273.0
29/02/16,1141480.0,273.0,270.0,274.0,270.0
01/03/16,15294640.0,270.0,274.0,274.0,270.0
02/03/16,970710.0,274.0,269.0,274.0,269.0
03/03/16,1019050.0,273.0,275.0,275.0,273.0
04/03/16,27240.0,275.0,274.0,275.0,270.0
07/03/16,487370.0,274.0,275.0,279.8,274.0
08/03/16,862596.0,275.0,275.0,280.0,275.0
09/03/16,676322.0,270.0,275.0,275.0,269.0
10/03/16,199434.0,279.8,271.2,280.0,269.0
11/03/16,73452.0,270.0,275.0,275.0,270.0
14/03/16,258238.0,279.8,275.0,279.8,273.0
15/03/16,1282172.0,279.0,280.0,281.0,279.0
16/03/16,578706.0,282.0,281.0,284.6,280.0
17/03/16,445460.0,284.0,284.8,285.0,282.0
18/03/16,897980.0,284.8,291.0,291.0,284.0
21/03/16,4026376.0,291.0,292.8,293.0,291.0
22/03/16,4801166.0,294.0,289.8,294.0,285.0
23/03/16,739062.0,288.0,287.0,288.2,286.0
28/03/16,926890.0,287.0,287.0,289.4,286.0
29/03/16,3315810.0,285.0,285.0,287.0,285.0
30/03/16,4265378.0,285.0,289.0,290.0,285.0
31/03/16,7250920.0,287.0,284.8,288.0,284.8
01/04/16,396636.0,284.8,275.0,284.8,270.0
04/04/16,193238.0,284.8,271.2,284.8,270.2
05/04/16,160538.0,289.0,287.8,289.0,285.0
06/04/16,372400.0,280.0,280.0,280.0,280.0
07/04/16,351800.0,275.0,275.0,280.0,275.0
08/04/16,1853880.0,284.0,280.0,284.0,275.0
11/04/16,2384158.0,280.0,270.2,280.0,270.0
12/04/16,107240.0,274.0,275.0,275.0,274.0
13/04/16,122626.0,273.0,275.0,275.0,270.4
14/04/16,353104.0,275.0,271.0,275.0,271.0
15/04/16,51464.0,271.0,270.4,271.0,270.4
18/04/16,678194.0,270.2,271.0,271.0,270.0
19/04/16,8897140.0,271.0,274.0,274.0,271.0
20/04/16,40620.0,274.0,270.0,274.0,270.0
21/04/16,113848.0,271.0,273.8,273.8,271.0
22/04/16,982910.0,271.0,270.0,271.0,270.0
25/04/16,178036.0,270.0,273.8,273.8,269.2
26/04/16,691025594.0,273.8,270.0,273.8,269.2
27/04/16,148242.0,273.8,269.0,273.8,269.0
28/04/16,83430.0,270.0,269.0,270.0,269.0
29/04/16,55902.0,266.2,266.2,266.2,266.2
02/05/16,740640.0,266.2,267.0,270.0,260.0
03/05/16,144550.0,267.0,262.0,267.0,262.0
04/05/16,55440.0,264.0,264.0,264.0,264.0
05/05/16,4197520.0,264.0,263.0,264.0,262.0
06/05/16,401954.0,263.0,260.0,263.0,259.0
06/05/16,401954.0,263.0,260.0,263.0,259.0
10/05/16,210688.0,260.0,265.0,273.8,260.0
11/05/16,781300.0,265.0,273.4,274.4,265.0
12/05/16,301126.0,275.0,273.4,275.0,273.4
13/05/16,255538.0,275.0,273.4,275.0,265.0
16/05/16,243330.0,273.0,273.0,273.0,265.2
17/05/16,67540.0,274.0,270.0,274.0,270.0
18/05/16,1042930.0,273.0,270.0,274.0,270.0
19/05/16,283560.0,273.0,270.0,273.0,270.0
20/05/16,8060.0,270.0,268.0,270.0,268.0
23/05/16,24230.0,269.0,270.0,270.0,269.0
24/05/16,309712.0,270.0,265.0,270.0,265.0
25/05/16,970150.0,265.0,265.0,270.0,265.0
26/05/16,748300.0,264.0,265.0,270.0,264.0
27/05/16,239710.0,265.6,262.0,265.6,262.0
30/05/16,363962.0,262.0,260.6,262.0,260.6
31/05/16,1028276.0,260.0,261.6,261.8,260.0
01/06/16,517810.0,261.8,262.4,262.4,260.0
02/06/16,184976.0,262.4,264.0,264.0,260.0
03/06/16,357820.0,263.0,262.0,263.0,257.0
06/06/16,451760.0,264.0,262.0,264.0,262.0
07/06/16,1444914.0,264.0,260.0,264.0,260.0
08/06/16,156630.0,260.0,264.0,265.0,260.0
09/06/16,591540.0,264.0,262.0,264.0,260.0
10/06/16,558060.0,262.0,262.0,262.0,262.0
13/06/16,26350.0,262.0,264.0,265.0,262.0
14/06/16,297782.0,262.0,260.0,262.0,260.0
15/06/16,57690.0,265.0,262.0,265.0,262.0
16/06/16,449710.0,263.0,262.0,263.0,262.0
17/06/16,307900.0,261.0,265.0,265.0,260.0
20/06/16,1416000.0,260.0,261.0,262.0,260.0
21/06/16,2635514.0,262.8,261.8,262.8,261.0
22/06/16,3514722.0,261.0,262.0,262.0,260.2
23/06/16,1258908.0,260.2,260.2,262.0,260.0
24/06/16,2434520.0,262.0,260.0,262.0,258.6
27/06/16,4889020.0,260.0,261.0,263.0,260.0
28/06/16,381206.0,258.0,258.4,263.0,258.0
