Date,Value,Open,Close,High,Low
15/07/15,1995445.0,79.5,77.3,79.5,77.0
16/07/15,2564078.0,77.3,76.5,77.3,76.05
20/07/15,93652.5,76.15,76.1,79.9,76.05
21/07/15,113453.5,76.15,76.55,76.7,76.15
22/07/15,9204.5,76.55,76.8,76.8,76.55
23/07/15,997138.0,76.85,77.8,80.95,76.85
23/07/15,997138.0,76.85,77.8,80.95,76.85
23/07/15,997138.0,76.85,77.8,80.95,76.85
24/07/15,302916.0,77.85,77.0,77.85,77.0
27/07/15,39936.0,76.8,76.8,76.8,76.8
28/07/15,40069.5,77.0,77.0,79.95,77.0
29/07/15,337444.0,77.05,77.0,77.5,77.0
30/07/15,91556.5,79.95,79.9,79.95,77.0
31/07/15,798.5,79.85,79.85,79.85,79.85
03/08/15,401217.5,80.2,80.0,81.95,79.5
04/08/15,122989.0,80.0,77.15,80.0,77.15
05/08/15,184700.5,77.2,77.5,79.95,77.2
06/08/15,600196.0,78.0,78.0,78.0,77.6
07/08/15,426193.0,78.0,77.6,78.5,77.6
10/08/15,4661.0,77.7,77.75,77.75,77.6
11/08/15,39610.0,77.6,77.8,77.8,77.6
12/08/15,712675.0,78.0,77.8,78.5,77.8
13/08/15,43568.0,77.8,77.8,77.8,77.8
14/08/15,291034.5,77.85,77.65,79.5,77.65
17/08/15,13201.5,77.7,77.65,77.7,77.65
18/08/15,243790.0,78.0,78.0,78.0,77.65
19/08/15,327710.5,77.7,77.7,77.8,77.6
20/08/15,342982.5,77.65,77.6,77.65,77.55
24/08/15,1946289.5,77.6,73.0,77.6,73.0
25/08/15,493480.0,73.0,71.9,73.5,71.9
26/08/15,2240830.0,71.45,70.3,71.5,70.3
27/08/15,1198217.5,70.3,70.05,71.55,70.0
28/08/15,1628458.0,70.1,69.5,70.5,69.1
01/09/15,415232.0,69.7,70.0,70.0,69.5
02/09/15,818334.5,70.0,71.0,72.0,70.0
03/09/15,1119396.5,71.0,69.8,71.0,69.5
04/09/15,966125.0,69.8,69.3,69.8,69.25
07/09/15,134811.5,69.2,69.1,69.5,69.05
08/09/15,38892.0,69.1,71.0,71.0,69.1
09/09/15,923022.0,71.2,70.0,71.2,69.25
10/09/15,1304602.0,71.0,67.65,71.0,67.55
11/09/15,656765.0,67.6,67.55,67.6,67.55
14/09/15,277883.0,67.6,67.05,67.6,67.05
15/09/15,322672.5,67.25,67.15,67.25,67.0
15/09/15,322672.5,67.25,67.15,67.25,67.0
15/09/15,322672.5,67.25,67.15,67.25,67.0
16/09/15,2452134.5,67.1,66.0,67.1,66.0
17/09/15,1387614.5,68.0,65.0,68.0,65.0
18/09/15,88423.0,67.0,66.0,67.0,65.1
21/09/15,8470.0,66.0,65.0,66.0,65.0
22/09/15,614980.0,69.0,63.8,69.0,63.6
23/09/15,62049849.0,63.9,63.0,65.0,63.0
24/09/15,7966769.0,63.0,84.95,84.95,63.0
28/09/15,11954962.0,79.0,70.0,79.0,69.0
29/09/15,2720051.5,70.0,70.0,75.0,70.0
30/09/15,3611495.5,69.9,73.0,73.0,69.0
01/10/15,2944110.0,68.2,77.0,77.0,68.2
02/10/15,682055.0,73.1,75.1,77.0,73.1
05/10/15,2387071.0,74.5,80.0,80.0,74.0
06/10/15,2859102.0,80.0,84.3,84.3,78.6
07/10/15,3763808.0,84.0,86.95,86.95,81.45
08/10/15,3278677.5,86.95,92.0,92.0,86.1
09/10/15,1496524.0,92.0,90.6,92.0,90.0
12/10/15,7835318.5,90.0,94.8,94.8,87.5
13/10/15,3497334.5,94.8,99.0,99.5,94.8
14/10/15,3852436.0,98.0,102.0,102.0,98.0
15/10/15,4244309.5,97.95,104.1,104.1,97.95
16/10/15,3041196.0,104.1,104.4,104.4,100.0
19/10/15,2301972.0,101.0,102.0,104.0,99.5
20/10/15,4944215.0,102.0,108.0,108.0,100.0
21/10/15,52397211.0,107.7,106.0,108.0,106.0
22/10/15,1270246.0,106.0,107.0,108.0,106.0
23/10/15,706717.0,104.1,107.8,107.8,104.1
26/10/15,1371174.0,104.3,107.7,107.7,104.3
27/10/15,214355914.0,105.3,108.0,108.0,105.2
28/10/15,492097.0,106.0,108.5,108.5,106.0
29/10/15,2455818.0,108.0,108.5,108.5,106.3
30/10/15,1536661.0,105.8,105.4,106.9,105.4
02/11/15,1630918.0,104.6,104.9,106.0,104.0
03/11/15,3787621.0,104.0,100.0,104.0,100.0
04/11/15,2110810.5,99.7,91.5,99.7,90.1
05/11/15,4754939.0,91.1,83.5,91.1,83.5
06/11/15,6234774.5,83.2,79.5,83.2,79.5
09/11/15,1361108.0,79.2,79.1,81.95,78.55
10/11/15,882896.0,78.5,78.1,78.5,77.0
11/11/15,446028.5,77.35,77.35,78.0,77.35
12/11/15,48187.0,77.3,77.6,78.0,77.3
13/11/15,1801493.5,77.25,76.05,77.5,76.05
16/11/15,147732.5,76.15,76.15,76.2,76.15
17/11/15,4570.5,76.15,76.3,76.3,76.15
20/11/15,130011.5,76.55,76.4,76.55,76.4
23/11/15,302453.5,76.5,76.2,76.5,76.0
24/11/15,1304115.5,76.0,75.6,76.0,75.55
25/11/15,2023503.5,80.0,77.65,82.5,75.55
26/11/15,1275009.0,79.95,75.5,79.95,75.5
27/11/15,230191792.5,75.5,75.0,79.9,75.0
01/12/15,82191.0,79.9,75.0,79.9,75.0
02/12/15,386480.0,75.0,74.0,75.0,74.0
03/12/15,187119.0,73.95,73.5,75.0,73.5
04/12/15,240075.0,74.85,73.0,74.85,73.0
07/12/15,252840.5,72.75,73.0,73.0,72.75
08/12/15,451208.5,72.8,72.5,72.8,72.5
09/12/15,30661.0,75.0,72.45,75.0,72.45
10/12/15,204537.0,72.35,72.0,72.35,72.0
11/12/15,13687707.5,71.85,74.0,75.0,71.65
14/12/15,46552.0,72.05,74.9,74.9,71.0
15/12/15,179736.0,75.0,72.0,75.0,71.0
16/12/15,2209157.0,71.1,70.0,71.1,69.95
17/12/15,87595.5,70.5,69.9,70.5,69.9
18/12/15,294582.0,69.9,69.9,70.0,69.9
21/12/15,209927125.5,69.8,69.8,69.85,69.8
22/12/15,59995.0,69.85,69.7,69.85,69.7
23/12/15,43147.0,69.6,69.55,69.6,69.55
28/12/15,509097.0,69.55,69.55,69.6,69.45
29/12/15,3152606.0,69.45,67.6,69.55,67.6
04/01/16,14872.0,67.6,67.6,67.6,67.6
05/01/16,145244.5,66.7,66.85,67.0,66.5
06/01/16,3681811.0,66.55,65.0,66.55,65.0
07/01/16,1233846.0,65.1,64.8,65.1,64.4
08/01/16,885363.5,64.15,63.7,64.15,63.55
11/01/16,85700.0,68.0,63.8,68.95,63.8
12/01/16,3472957.0,67.45,62.9,67.45,62.9
13/01/16,4242688.0,62.95,63.35,64.95,62.9
14/01/16,1095881.5,64.8,64.35,65.0,63.35
15/01/16,218154.0,64.25,65.9,65.9,64.25
18/01/16,2066933.0,64.4,67.0,67.0,63.0
19/01/16,3662625.0,67.5,74.85,74.85,67.5
20/01/16,3516158.5,74.9,74.0,76.0,74.0
21/01/16,1285798.0,74.0,70.0,74.0,70.0
22/01/16,2131568.5,70.0,71.45,71.45,67.55
25/01/16,3449406.5,73.95,77.0,77.0,73.0
26/01/16,10328412.0,77.0,83.95,84.0,77.0
27/01/16,17442076.5,84.0,100.0,100.0,80.05
28/01/16,13423268.5,99.0,99.7,101.0,97.0
29/01/16,13042921.0,98.0,104.9,104.9,93.6
01/02/16,13100204.0,105.0,108.0,108.0,101.5
02/02/16,11950618.0,107.8,110.0,110.0,104.3
