Date,Value,Open,Close,High,Low
15/07/15,1172270.0,2.15,2.15,2.16,2.14
16/07/15,495220.0,2.14,2.14,2.15,2.14
20/07/15,5250380.0,2.15,2.14,2.2,2.14
21/07/15,1490250.0,2.14,2.15,2.17,2.14
22/07/15,3733210.0,2.14,2.12,2.14,2.12
23/07/15,6343060.0,2.12,2.12,2.16,2.08
23/07/15,6343060.0,2.12,2.12,2.16,2.08
23/07/15,6343060.0,2.12,2.12,2.16,2.08
24/07/15,6936750.0,2.12,2.1,2.12,2.08
27/07/15,818720.0,2.15,2.11,2.15,2.11
28/07/15,7479420.0,2.13,2.18,2.18,2.07
29/07/15,25512820.0,2.19,2.2,2.33,2.19
30/07/15,2427130.0,2.22,2.16,2.22,2.15
31/07/15,8238580.0,2.15,2.14,2.15,2.1
03/08/15,3396560.0,2.14,2.16,2.16,2.13
04/08/15,1317050.0,2.16,2.14,2.16,2.12
05/08/15,1284100.0,2.14,2.13,2.14,2.13
06/08/15,3273360.0,2.13,2.13,2.16,2.12
07/08/15,1315500.0,2.12,2.12,2.13,2.12
10/08/15,1307790.0,2.12,2.12,2.13,2.11
11/08/15,3193310.0,2.15,2.1,2.15,2.1
12/08/15,2438400.0,2.1,2.09,2.11,2.08
13/08/15,3408700.0,2.1,2.07,2.1,2.06
14/08/15,1985790.0,2.09,2.07,2.09,2.07
17/08/15,12117500.0,2.0,1.91,2.01,1.88
18/08/15,2311320.0,1.91,1.92,1.96,1.91
19/08/15,3003790.0,1.92,1.89,1.95,1.88
20/08/15,2969530.0,1.91,1.89,1.94,1.89
24/08/15,7639620.0,1.85,1.72,1.85,1.7
25/08/15,1086340.0,1.69,1.66,1.7,1.65
26/08/15,2738200.0,1.7,1.76,1.79,1.68
27/08/15,1263260.0,1.8,1.8,1.82,1.78
28/08/15,2387400.0,1.84,1.83,1.84,1.8
01/09/15,2316570.0,1.8,1.78,1.8,1.77
02/09/15,558930.0,1.78,1.8,1.8,1.74
