Date,Value,Open,Close,High,Low
15/07/15,2431140.0,9.03,9.3,9.44,9.0
16/07/15,3883994.0,9.24,10.0,10.0,9.2
20/07/15,9034354.0,10.5,10.9,11.0,10.5
21/07/15,5816492.0,11.0,10.7,11.1,10.7
22/07/15,1166666.0,10.6,10.48,10.7,10.38
23/07/15,2428502.0,10.6,10.4,10.66,10.34
23/07/15,2428502.0,10.6,10.4,10.66,10.34
23/07/15,2428502.0,10.6,10.4,10.66,10.34
24/07/15,8013846.0,10.34,9.88,10.34,9.78
27/07/15,3199766.0,10.0,10.26,10.42,10.0
28/07/15,5857709.0,10.3,9.89,10.3,9.6
29/07/15,3401985.0,9.62,9.89,10.1,9.62
30/07/15,24567326.0,9.98,8.9,9.98,8.9
31/07/15,31788675.0,8.9,8.4,8.9,8.0
03/08/15,15587934.0,8.45,8.91,9.16,8.44
04/08/15,7577145.0,9.18,8.88,9.32,8.8
05/08/15,1516055.0,8.89,8.84,8.9,8.6
06/08/15,2558174.0,8.84,8.7,8.84,8.66
07/08/15,3627062.0,8.66,8.34,8.8,8.3
10/08/15,2828822.0,8.31,8.18,8.5,8.16
11/08/15,4706359.0,8.27,8.02,8.27,7.99
12/08/15,8796655.0,8.04,8.37,8.6,7.8
13/08/15,16291098.0,8.9,9.16,9.3,8.65
14/08/15,14218387.0,9.18,8.98,9.45,8.85
17/08/15,5715321.0,4.49,4.49,4.49,4.49
18/08/15,44059960.0,2.5,2.9,3.5,2.5
19/08/15,42339920.0,3.1,3.04,3.44,2.94
20/08/15,13848580.0,3.08,2.73,3.09,2.71
24/08/15,6404060.0,2.45,2.15,2.45,2.15
25/08/15,2013400.0,2.11,2.25,2.27,2.0
26/08/15,9037580.0,2.28,2.78,2.78,2.28
27/08/15,8282870.0,3.05,2.94,3.1,2.81
28/08/15,5547320.0,3.0,2.84,3.07,2.78
01/09/15,1786160.0,2.89,2.74,2.9,2.69
02/09/15,2627500.0,2.6,2.69,2.69,2.47
03/09/15,1708970.0,2.83,2.72,2.83,2.62
04/09/15,1595870.0,2.69,2.62,2.72,2.61
07/09/15,571720.0,2.63,2.57,2.69,2.57
08/09/15,1490890.0,2.56,2.51,2.6,2.45
09/09/15,572110.0,2.51,2.55,2.67,2.51
10/09/15,191950.0,2.5,2.56,2.56,2.5
11/09/15,639510.0,2.51,2.5,2.55,2.45
14/09/15,1134110.0,2.5,2.4,2.51,2.4
15/09/15,1100250.0,2.4,2.34,2.41,2.33
15/09/15,1100250.0,2.4,2.34,2.41,2.33
15/09/15,1100250.0,2.4,2.34,2.41,2.33
16/09/15,705520.0,2.4,2.36,2.43,2.34
17/09/15,1165600.0,2.36,2.32,2.36,2.31
18/09/15,2478660.0,2.34,2.27,2.4,2.25
21/09/15,1109800.0,2.26,2.24,2.28,2.24
22/09/15,1868020.0,2.23,2.14,2.25,2.13
23/09/15,6768460.0,2.13,2.47,2.6,2.1
24/09/15,10619640.0,2.52,2.62,2.82,2.52
28/09/15,4308000.0,2.72,2.35,2.75,2.32
29/09/15,955420.0,2.55,2.46,2.68,2.4
30/09/15,773050.0,2.5,2.34,2.5,2.32
01/10/15,2510780.0,2.35,2.44,2.59,2.2
02/10/15,985600.0,2.48,2.42,2.5,2.37
05/10/15,1645630.0,2.5,2.45,2.6,2.42
06/10/15,544930.0,2.47,2.44,2.5,2.44
07/10/15,551950.0,2.42,2.49,2.5,2.35
08/10/15,530440.0,2.37,2.4,2.45,2.37
09/10/15,329430.0,2.35,2.4,2.44,2.35
12/10/15,860140.0,2.38,2.45,2.45,2.37
13/10/15,863830.0,2.4,2.4,2.43,2.4
14/10/15,483900.0,2.39,2.37,2.44,2.37
15/10/15,200380.0,2.37,2.35,2.37,2.33
16/10/15,482510.0,2.35,2.35,2.38,2.32
19/10/15,181270.0,2.32,2.33,2.49,2.32
20/10/15,602090.0,2.37,2.37,2.37,2.34
21/10/15,319370.0,2.33,2.35,2.45,2.32
22/10/15,631210.0,2.42,2.29,2.42,2.29
23/10/15,343990.0,2.31,2.37,2.37,2.29
26/10/15,127370.0,2.29,2.37,2.39,2.29
27/10/15,2610060.0,2.37,2.43,2.67,2.3
28/10/15,19102870.0,2.69,2.55,2.91,2.51
29/10/15,2349350.0,2.74,2.45,2.74,2.44
30/10/15,856990.0,2.5,2.41,2.5,2.4
02/11/15,649330.0,2.41,2.35,2.41,2.33
03/11/15,2809500.0,2.34,2.33,2.38,2.29
04/11/15,851820.0,2.35,2.38,2.49,2.35
05/11/15,461260.0,2.4,2.35,2.45,2.35
06/11/15,177630.0,2.43,2.32,2.43,2.32
09/11/15,440510.0,2.31,2.3,2.32,2.3
10/11/15,610800.0,2.3,2.25,2.3,2.25
11/11/15,99100.0,2.39,2.3,2.39,2.3
12/11/15,186520.0,2.31,2.33,2.34,2.31
13/11/15,48630.0,2.3,2.33,2.35,2.3
16/11/15,98140.0,2.27,2.27,2.33,2.26
17/11/15,125810.0,2.27,2.27,2.35,2.27
20/11/15,144640.0,2.28,2.33,2.33,2.27
23/11/15,101520.0,2.38,2.3,2.38,2.3
24/11/15,1144700.0,2.3,2.28,2.3,2.19
25/11/15,135760.0,2.27,2.25,2.3,2.25
26/11/15,210090.0,2.26,2.29,2.29,2.23
27/11/15,22580.0,2.29,2.27,2.29,2.25
01/12/15,52340.0,2.27,2.29,2.29,2.25
02/12/15,332530.0,2.29,2.34,2.37,2.25
03/12/15,75790.0,2.34,2.27,2.34,2.27
04/12/15,231300.0,2.35,2.33,2.36,2.32
07/12/15,75600.0,2.3,2.3,2.3,2.25
08/12/15,117799.99999999999,2.3,2.3,2.3,2.26
09/12/15,317960.0,2.24,2.25,2.3,2.18
10/12/15,111480.0,2.24,2.22,2.3,2.19
11/12/15,206540.0,2.22,2.18,2.25,2.18
14/12/15,173970.0,2.18,2.15,2.18,2.14
15/12/15,83330.0,2.14,2.13,2.19,2.13
16/12/15,40610.0,2.13,2.2,2.2,2.13
17/12/15,66620.0,2.12,2.15,2.18,2.11
18/12/15,319840.0,2.18,2.09,2.18,2.09
21/12/15,80170.0,2.09,2.13,2.13,2.09
22/12/15,92250.0,2.13,2.09,2.13,2.09
23/12/15,336720.0,2.09,2.12,2.12,2.09
28/12/15,432200.0,2.12,2.2,2.2,2.06
29/12/15,191100.0,2.1,2.28,2.28,2.1
04/01/16,66330.0,2.2,2.21,2.26,2.1
06/01/16,42440.0,2.11,2.2,2.2,2.11
07/01/16,29610.0,2.15,2.12,2.15,2.1
08/01/16,147930.0,2.1,2.1,2.1,2.02
11/01/16,614670.0,2.0,1.93,2.01,1.93
12/01/16,19480.0,1.93,1.95,1.95,1.93
13/01/16,149590.0,1.93,1.96,1.96,1.92
14/01/16,17800.0,1.96,2.0,2.0,1.96
15/01/16,101090.0,1.99,1.99,2.0,1.98
18/01/16,136260.0,1.96,1.88,1.96,1.88
