Date,Value,Open,Close,High,Low
15/07/15,3580.0,1.79,1.79,1.79,1.79
04/08/15,23890.0,1.71,1.7,1.71,1.7
12/08/15,90800.0,1.62,1.7,1.7,1.62
24/08/15,55930.0,1.57,1.52,1.57,1.52
25/08/15,13430.0,1.52,1.47,1.52,1.47
07/09/15,1690.0,1.69,1.69,1.69,1.69
10/09/15,1690.0,1.69,1.69,1.69,1.69
21/09/15,3380.0,1.69,1.69,1.69,1.69
22/09/15,35070.0,1.67,1.67,1.67,1.67
23/09/15,52430.0,1.67,1.72,1.72,1.67
29/09/15,380190.0,1.51,1.52,1.52,1.44
30/09/15,121080.0,1.52,1.4,1.52,1.4
01/10/15,437640.0,1.4,1.4,1.54,1.4
02/10/15,312200.0,1.4,1.4,1.4,1.4
06/10/15,30680.0,1.51,1.54,1.54,1.51
07/10/15,37150.0,1.5,1.55,1.55,1.5
08/10/15,31000.0,1.55,1.55,1.55,1.55
09/10/15,58950.0,1.5,1.5,1.5,1.42
12/10/15,55350.0,1.5,1.5,1.5,1.47
14/10/15,6160.0,1.54,1.54,1.54,1.54
15/10/15,16580.0,1.48,1.53,1.53,1.48
16/10/15,9020.0,1.51,1.5,1.51,1.5
19/10/15,19890.0,1.55,1.55,1.55,1.51
20/10/15,43880.0,1.52,1.51,1.52,1.51
21/10/15,16610.0,1.51,1.51,1.51,1.51
27/10/15,66530.0,1.52,1.51,1.52,1.51
28/10/15,1510.0,1.51,1.51,1.51,1.51
29/10/15,1510.0,1.51,1.51,1.51,1.51
30/10/15,16610.0,1.51,1.51,1.51,1.51
02/11/15,3020.0,1.51,1.51,1.51,1.51
04/11/15,39210.0,1.51,1.5,1.51,1.5
05/11/15,75090.0,1.51,1.5,1.51,1.5
10/11/15,1500.0,1.5,1.5,1.5,1.5
12/11/15,7730.0,1.71,1.5,1.71,1.5
13/11/15,31500.0,1.5,1.5,1.5,1.5
16/11/15,15000.0,1.5,1.5,1.5,1.5
17/11/15,15000.0,1.5,1.5,1.5,1.5
20/11/15,30000.0,1.5,1.5,1.5,1.5
08/12/15,38000.0,1.52,1.52,1.52,1.52
11/12/15,166150.0,1.53,1.51,1.53,1.51
14/12/15,15100.0,1.51,1.51,1.51,1.51
04/01/16,6040.0,1.51,1.51,1.51,1.51
11/01/16,60400.0,1.51,1.51,1.51,1.51
18/02/16,6040.0,1.51,1.51,1.51,1.51
19/02/16,4530.0,1.51,1.51,1.51,1.51
26/02/16,4530.0,1.51,1.51,1.51,1.51
04/03/16,61910.0,1.72,1.7,1.72,1.5
08/03/16,18020.0,1.49,1.69,1.69,1.48
15/03/16,19200.0,1.6,1.6,1.6,1.6
16/03/16,83880.0,1.66,1.75,1.75,1.66
17/03/16,17940.0,1.62,1.74,1.74,1.62
18/03/16,3370.0,1.64,1.73,1.73,1.64
28/03/16,47220.0,1.72,1.75,1.75,1.72
30/03/16,5230.0,1.68,1.75,1.8,1.68
31/03/16,3540.0,1.75,1.79,1.79,1.75
01/04/16,1415910.0,1.78,1.81,2.3,1.78
04/04/16,401510.0,2.02,1.88,2.04,1.8
05/04/16,39610.0,2.04,2.06,2.2,2.0
06/04/16,70490.0,2.1,2.09,2.2,1.82
07/04/16,58520.0,2.05,1.97,2.05,1.85
08/04/16,19700.0,1.97,1.97,1.97,1.97
11/04/16,13610.0,1.97,1.93,1.99,1.93
12/04/16,87220.0,1.9,1.9,1.97,1.88
14/04/16,48970.0,1.8,1.81,1.82,1.8
15/04/16,1930.0,1.93,1.93,1.93,1.93
19/04/16,3730.0,1.81,1.92,1.92,1.81
20/04/16,10960.0,1.81,1.91,1.91,1.81
22/04/16,88750.0,1.83,1.9,1.9,1.8
25/04/16,1862620.0,1.9,2.08,2.3,1.9
26/04/16,523120.0,1.92,1.95,1.95,1.8
27/04/16,61320.0,1.94,1.86,1.94,1.86
28/04/16,19200.0,1.92,1.92,1.92,1.92
03/05/16,46980.0,1.8,1.88,1.88,1.8
04/05/16,169370.0,1.88,2.04,2.15,1.88
05/05/16,486100.0,2.04,2.0,2.04,1.99
06/05/16,5740.0,1.76,1.99,1.99,1.76
06/05/16,5740.0,1.76,1.99,1.99,1.76
10/05/16,3640.0,1.82,1.82,1.82,1.82
11/05/16,100850.0,1.82,1.99,2.0,1.82
12/05/16,41580.0,1.98,1.98,1.98,1.98
13/05/16,9740.0,1.94,1.98,1.98,1.94
16/05/16,509770.0,2.02,2.0,2.06,2.0
18/05/16,13900.0,1.98,1.99,1.99,1.98
19/05/16,22870.0,1.95,1.94,1.95,1.86
23/05/16,26150.0,1.8,1.95,1.95,1.78
07/06/16,14740.0,1.85,1.83,1.85,1.83
08/06/16,69430.0,1.97,1.99,1.99,1.96
13/06/16,1890.0,1.89,1.89,1.89,1.89
15/06/16,15120.0,1.89,1.89,1.89,1.89
16/06/16,1970.0,1.97,1.97,1.97,1.97
27/06/16,20510.0,1.86,1.96,1.96,1.85
28/06/16,27340.0,1.8,1.96,1.96,1.8
07/07/16,5720.0,1.92,1.92,1.92,1.88
14/07/16,1900.0,1.9,1.9,1.9,1.9
