Date,Value,Open,Close,High,Low
15/07/15,26032394.0,5.19,5.18,5.26,5.18
16/07/15,45972806.0,5.2,5.2,5.24,5.18
20/07/15,5282556.0,5.2,5.2,5.2,5.19
21/07/15,129824343.0,5.19,5.57,5.64,5.19
22/07/15,56844277.0,5.7,5.6,5.81,5.6
23/07/15,23159563.0,5.63,5.62,5.68,5.52
23/07/15,23159563.0,5.63,5.62,5.68,5.52
23/07/15,23159563.0,5.63,5.62,5.68,5.52
24/07/15,10439608.0,5.66,5.63,5.71,5.53
27/07/15,6107345.0,5.63,5.45,5.63,5.45
28/07/15,17867470.0,5.45,5.22,5.5,5.2
29/07/15,4735562.0,5.3,5.45,5.48,5.28
30/07/15,8298111.0,5.46,5.33,5.56,5.33
31/07/15,2498245.0,5.35,5.33,5.44,5.32
03/08/15,3343404.0,5.33,5.31,5.33,5.3
04/08/15,3815561.0,5.31,5.4,5.41,5.28
05/08/15,21633757.0,5.4,5.46,5.5,5.4
06/08/15,8177426.0,5.46,5.49,5.55,5.4
07/08/15,19779396.0,5.45,5.54,5.65,5.4
10/08/15,12862019.0,5.54,5.52,5.7,5.52
11/08/15,9714895.0,5.58,5.36,5.58,5.36
12/08/15,8965477.0,5.38,5.28,5.38,5.28
13/08/15,5983937.0,5.31,5.18,5.31,5.16
14/08/15,12249743.0,5.2,5.15,5.28,5.15
17/08/15,12836524.0,5.16,4.75,5.2,4.75
18/08/15,5372970.0,4.8,4.65,4.98,4.65
19/08/15,14056260.0,4.65,4.75,4.84,4.65
20/08/15,4111020.0,4.75,4.7,4.8,4.69
24/08/15,14415850.0,4.5,4.15,4.5,3.96
25/08/15,2450560.0,3.99,4.03,4.1,3.95
26/08/15,30133100.0,4.05,3.9,4.3,3.9
27/08/15,15542260.0,3.99,4.04,4.1,3.99
28/08/15,16801840.0,4.08,4.02,4.23,3.98
01/09/15,2226860.0,4.11,4.02,4.11,4.01
02/09/15,13893380.0,3.94,3.99,4.02,3.89
03/09/15,8052920.0,4.0,4.0,4.07,3.99
04/09/15,4665920.0,4.0,3.91,4.05,3.9
07/09/15,7468980.0,3.91,3.8,3.91,3.79
08/09/15,3151690.0,3.81,3.78,3.88,3.76
09/09/15,1378060.0,3.86,3.78,3.86,3.78
10/09/15,28256910.0,3.82,3.78,3.85,3.75
11/09/15,3310520.0,3.83,3.75,3.83,3.74
14/09/15,25146020.0,3.76,3.5,3.81,3.5
15/09/15,6664210.0,3.53,3.53,3.64,3.51
15/09/15,6664210.0,3.53,3.53,3.64,3.51
15/09/15,6664210.0,3.53,3.53,3.64,3.51
16/09/15,48019100.0,3.57,3.54,3.75,3.53
17/09/15,19970120.0,3.55,3.43,3.6,3.4
18/09/15,11217320.0,3.44,3.4,3.51,3.4
21/09/15,4728120.0,3.4,3.37,3.47,3.37
22/09/15,8931500.0,3.38,3.38,3.45,3.37
23/09/15,9138840.0,3.4,3.39,3.4,3.36
24/09/15,5224580.0,3.4,3.45,3.54,3.38
28/09/15,23331070.0,3.48,3.4,3.49,3.38
29/09/15,9330200.0,3.39,3.19,3.39,3.19
30/09/15,2704220.0,3.29,3.34,3.34,3.19
01/10/15,339170.0,3.21,3.28,3.28,3.21
02/10/15,5098920.0,3.28,3.2,3.28,3.18
05/10/15,8611280.0,3.25,3.27,3.4,3.25
06/10/15,1031000.0,3.39,3.36,3.39,3.35
07/10/15,6180820.0,3.36,3.44,3.6,3.36
08/10/15,17815900.0,3.53,3.45,3.62,3.4
09/10/15,2960820.0,3.43,3.51,3.54,3.43
12/10/15,28600220.0,3.54,3.7,3.71,3.54
13/10/15,11923090.0,3.71,3.8,3.9,3.71
14/10/15,18909840.0,3.81,3.84,3.87,3.74
15/10/15,33319480.0,3.88,4.05,4.18,3.88
16/10/15,49162190.0,4.15,4.05,4.15,4.0
19/10/15,34844930.0,4.15,4.04,4.15,4.04
20/10/15,20788180.0,4.05,4.04,4.06,4.03
21/10/15,13252660.0,4.05,4.18,4.2,4.04
22/10/15,7311440.0,4.21,4.21,4.25,4.14
23/10/15,9058840.0,4.22,4.34,4.41,4.21
