Date,Value,Open,Close,High,Low
15/07/15,139800.0,0.32,0.325,0.325,0.315
16/07/15,417950.0,0.315,0.32,0.32,0.3
20/07/15,245500.0,0.32,0.315,0.32,0.31
21/07/15,110750.0,0.315,0.32,0.32,0.315
22/07/15,389250.0,0.315,0.315,0.315,0.305
23/07/15,86850.0,0.31,0.31,0.315,0.305
23/07/15,86850.0,0.31,0.31,0.315,0.305
23/07/15,86850.0,0.31,0.31,0.315,0.305
24/07/15,81950.0,0.315,0.32,0.32,0.315
27/07/15,136650.0,0.315,0.31,0.315,0.31
28/07/15,122100.0,0.305,0.315,0.315,0.305
29/07/15,12600.0,0.315,0.315,0.315,0.315
30/07/15,153250.0,0.315,0.315,0.315,0.305
31/07/15,27600.0,0.31,0.31,0.31,0.305
03/08/15,67450.0,0.31,0.31,0.31,0.305
04/08/15,17182850.0,0.305,0.37,0.38,0.305
05/08/15,5659050.0,0.375,0.355,0.375,0.34
06/08/15,2941200.0,0.35,0.355,0.36,0.34
07/08/15,5303700.0,0.36,0.36,0.38,0.355
10/08/15,2591050.0,0.365,0.345,0.365,0.34
11/08/15,7960250.0,0.345,0.31,0.345,0.3
12/08/15,577800.0,0.31,0.31,0.315,0.305
13/08/15,345350.0,0.31,0.305,0.315,0.305
14/08/15,535500.0,0.305,0.31,0.315,0.305
17/08/15,2111650.0,0.305,0.28,0.31,0.27
18/08/15,354950.0,0.285,0.3,0.3,0.285
19/08/15,435000.0,0.3,0.295,0.305,0.28
20/08/15,116000.0,0.295,0.29,0.295,0.285
24/08/15,689900.0,0.275,0.265,0.275,0.26
25/08/15,189150.0,0.265,0.28,0.28,0.26
26/08/15,584600.0,0.275,0.275,0.275,0.26
27/08/15,666300.0,0.275,0.27,0.28,0.27
28/08/15,1748200.0,0.27,0.28,0.3,0.265
01/09/15,211600.0,0.28,0.28,0.295,0.28
02/09/15,251050.0,0.28,0.28,0.28,0.275
03/09/15,209200.0,0.28,0.28,0.285,0.28
04/09/15,317850.0,0.28,0.27,0.28,0.27
07/09/15,89700.0,0.275,0.27,0.275,0.265
08/09/15,2700.0,0.27,0.27,0.27,0.27
09/09/15,34650.0,0.27,0.265,0.27,0.265
10/09/15,875500.0,0.27,0.275,0.29,0.27
11/09/15,547100.0,0.275,0.28,0.285,0.275
14/09/15,561000.0,0.275,0.27,0.275,0.27
15/09/15,608500.0,0.265,0.27,0.275,0.265
15/09/15,608500.0,0.265,0.27,0.275,0.265
15/09/15,608500.0,0.265,0.27,0.275,0.265
16/09/15,530000.0,0.275,0.275,0.275,0.26
17/09/15,30938750.0,0.275,0.35,0.395,0.27
18/09/15,7048550.0,0.36,0.33,0.37,0.32
21/09/15,6238550.0,0.33,0.3,0.33,0.3
22/09/15,56008500.0,0.31,0.37,0.44,0.295
23/09/15,24304450.0,0.375,0.36,0.41,0.35
24/09/15,7388700.0,0.35,0.335,0.365,0.33
28/09/15,7478650.0,0.335,0.35,0.375,0.33
29/09/15,5942600.0,0.36,0.335,0.375,0.335
30/09/15,5592050.0,0.34,0.32,0.355,0.32
01/10/15,2185950.0,0.33,0.33,0.335,0.32
02/10/15,2216650.0,0.33,0.315,0.345,0.315
05/10/15,980250.0,0.315,0.315,0.325,0.31
06/10/15,795950.0,0.315,0.315,0.33,0.315
07/10/15,897400.0,0.325,0.325,0.325,0.315
08/10/15,3533750.0,0.315,0.32,0.345,0.31
09/10/15,4198600.0,0.33,0.34,0.35,0.32
12/10/15,3673350.0,0.345,0.35,0.365,0.34
13/10/15,7060800.0,0.35,0.37,0.385,0.35
14/10/15,22821400.0,0.39,0.37,0.42,0.37
15/10/15,6258050.0,0.38,0.355,0.38,0.34
16/10/15,2765950.0,0.345,0.345,0.37,0.34
